"DateTime","4RH","1RV","2RH","3RH","Series 5","Series 6"
"2025-06-17 10:50:00",3.29923,0.67273,1.47003,0.46121,,
"2025-06-17 11:50:00",3.21252,0.7229,1.39488,0.43934,,
"2025-06-17 12:50:00",3.15055,0.89688,1.67062,0.463,,
"2025-06-17 13:50:00",3.04037,0.74591,1.45549,0.45659,,
"2025-06-17 14:50:00",3.10786,0.52944,1.08758,0.44881,,
"2025-06-17 15:50:00",3.31063,0.62251,1.33467,0.45641,,
"2025-06-17 16:50:00",2.96933,0.56246,1.3581,0.40213,,
"2025-06-17 17:50:00",3.25825,0.57532,1.23528,0.48005,,
"2025-06-17 18:50:00",3.38836,0.60457,1.4442,0.48025,,
"2025-06-17 19:50:00",3.03417,0.54414,1.19254,0.48642,,
"2025-06-17 20:50:00",3.24103,0.68388,1.45868,0.48029,,
"2025-06-17 21:50:00",3.38189,0.62931,1.29297,0.47658,,
"2025-06-17 22:50:00",3.54279,0.73068,1.60701,0.4737,,
"2025-06-17 23:50:00",3.37338,0.6772,1.45893,0.47861,,
"2025-06-18 00:50:00",3.40758,0.69094,1.43464,0.46626,,
"2025-06-18 01:50:00",3.35411,0.7557,1.76533,0.48682,,
"2025-06-18 02:50:00",3.22075,0.65517,1.36524,0.48793,,
"2025-06-18 03:50:00",3.25043,0.61539,1.23799,0.48706,,
"2025-06-18 04:50:00",3.27198,0.7029,1.58074,0.49381,,
"2025-06-18 05:50:00",3.4092,0.66741,1.52477,0.49305,,
"2025-06-18 06:50:00",2.94663,0.58441,1.42334,0.49061,,
"2025-06-18 07:50:00",3.2727,0.59545,1.30592,0.48972,,
"2025-06-18 08:50:00",3.27642,0.628,1.4103,0.48068,,
"2025-06-18 09:50:00",3.3142,0.58507,1.35258,0.38285,,
"2025-06-18 10:50:00",3.34041,0.6928,1.36782,0.42286,,
"2025-06-18 11:50:00",3.53261,0.82337,1.60285,0.46436,,
"2025-06-18 12:50:00",3.42424,0.77872,1.5836,0.45621,,
"2025-06-18 14:50:00",3.45741,0.73725,1.49323,0.45691,,
"2025-06-18 15:50:00",3.4084,0.61741,1.3857,0.45372,,
"2025-06-18 16:50:00",3.14818,0.71914,1.33641,0.4832,,
"2025-06-18 17:50:00",3.28238,0.79794,1.54569,0.48316,,
"2025-06-18 18:50:00",3.40752,0.75085,1.41124,0.47261,,
"2025-06-18 19:50:00",3.49522,0.60261,1.24039,0.47435,,
"2025-06-18 20:50:00",3.45961,0.6246,1.2176,0.48535,,
"2025-06-18 21:50:00",3.46026,0.69923,1.38496,0.48337,,
"2025-06-18 22:50:00",3.26093,0.6611,1.41268,0.47661,,
"2025-06-18 23:50:00",3.42736,0.7051,1.43973,0.47944,,
"2025-06-19 00:50:00",3.46209,0.69935,1.34728,0.48268,,
"2025-06-19 01:50:00",3.47878,0.66199,1.45266,0.48441,,
"2025-06-19 02:50:00",3.464,0.65909,1.38096,0.48193,,
"2025-06-19 03:50:00",3.51741,0.75229,1.53303,0.48222,,
"2025-06-19 04:50:00",3.40005,0.66075,1.35703,0.49079,,
"2025-06-19 05:50:00",3.38479,0.57702,1.38291,0.49003,,
"2025-06-19 06:50:00",3.47739,0.53643,1.16528,0.492,,
"2025-06-19 07:50:00",3.51399,0.59695,1.23913,0.4789,,
"2025-06-19 08:50:00",3.42102,0.59473,1.35681,0.50012,,
"2025-06-19 09:50:00",3.47975,0.55508,1.4058,0.49308,,
"2025-06-19 10:50:00",3.44324,0.52896,1.15932,0.4894,,
"2025-06-19 11:50:00",3.44262,0.55523,1.31238,0.48707,,
"2025-06-19 12:50:00",3.42124,0.67182,1.5297,0.49007,,
"2025-06-19 13:50:00",3.49603,0.66617,1.44749,0.49073,,
"2025-06-19 14:50:00",3.52864,0.8556,1.76907,0.48926,,
"2025-06-19 15:50:00",3.46916,0.58998,1.30445,0.48773,,
"2025-06-19 16:50:00",3.42295,0.61273,1.31371,0.49177,,
"2025-06-19 17:50:00",3.42784,0.53572,1.29183,0.49123,,
"2025-06-19 18:50:00",3.47836,0.62846,1.45024,0.4943,,
"2025-06-19 19:50:00",3.52164,0.51066,1.1294,0.48464,,
"2025-06-19 20:50:00",3.61467,0.62245,1.38955,0.49923,,
"2025-06-19 21:50:00",3.58053,0.46263,1.26901,0.48203,,
"2025-06-19 22:50:00",3.61347,0.56493,1.44498,0.48263,,
"2025-06-19 23:50:00",3.64864,0.57463,1.50632,0.49,,
"2025-06-20 00:50:00",3.36971,0.5191,1.26409,0.48256,,
"2025-06-20 01:50:00",3.46949,0.49276,1.40721,0.48065,,
"2025-06-20 02:50:00",3.68316,0.53699,1.30217,0.48033,,
"2025-06-20 03:50:00",3.68218,0.47428,1.19927,0.49452,,
"2025-06-20 04:50:00",3.64664,0.59442,1.44623,0.4873,,
"2025-06-20 04:50:00",3.64664,,,,,
"2025-06-20 05:50:00",3.63168,0.59386,1.42571,0.48537,,
"2025-06-20 05:50:00",3.63168,,,,,
"2025-06-20 06:50:00",3.63294,0.54692,1.25948,0.47741,,
"2025-06-20 07:50:00",3.69562,0.54889,1.39559,0.47844,,
"2025-06-20 07:50:00",3.69562,,,,,
"2025-06-20 08:50:00",3.78396,0.53207,1.38395,0.47746,,
"2025-06-20 08:50:00",3.78396,,,,,
"2025-06-20 09:50:00",3.63302,0.50397,1.32138,0.47483,,
"2025-06-20 09:50:00",3.63302,,,,,
"2025-06-20 10:50:00",3.60546,0.56657,1.50841,0.47902,,
"2025-06-20 11:50:00",3.77865,0.46874,1.18343,0.48703,,
"2025-06-20 12:50:00",3.68063,0.57889,1.36206,0.47394,,
"2025-06-20 13:50:00",3.61486,0.56432,1.43292,0.4687,,
"2025-06-20 14:50:00",3.58701,0.55164,1.41509,0.48918,,
"2025-06-20 15:50:00",3.57659,0.55569,1.39134,0.48258,,
"2025-06-20 16:50:00",3.42806,0.53047,1.32922,0.47581,,
"2025-06-20 17:50:00",3.24984,0.52076,1.23771,0.48399,,
"2025-06-20 18:50:00",3.3034,0.53319,1.37934,0.47836,,
"2025-06-20 19:50:00",3.42488,0.53679,1.38711,0.48471,,
"2025-06-20 20:50:00",3.41823,0.54199,1.33201,0.48067,,
"2025-06-20 21:50:00",3.51264,0.54873,1.3692,0.48559,,
"2025-06-20 22:50:00",3.39709,0.52991,1.29087,0.47987,,
"2025-06-20 23:50:00",3.49442,0.54647,1.27112,0.47543,,
"2025-06-21 00:50:00",3.43125,0.53671,1.31679,0.47574,,
"2025-06-21 01:50:00",3.52557,0.40056,1.06087,0.4778,,
"2025-06-21 02:50:00",3.6621,0.49136,1.24108,0.48397,,
"2025-06-21 03:50:00",3.54555,0.46814,1.21427,0.47961,,
"2025-06-21 04:50:00",3.69432,0.44654,1.26658,0.48165,,
