"DateTime","4RH","1RV","2RH","3RH","Series 5","Series 6"
"2025-06-17 10:50:00",3.41748,0.76884,2.60881,1.57791,,
"2025-06-17 11:50:00",3.53154,0.74429,2.26931,1.77043,,
"2025-06-17 12:50:00",3.3631,0.77717,2.50652,1.56898,,
"2025-06-17 13:50:00",3.10699,0.74779,2.36747,1.54252,,
"2025-06-17 14:50:00",3.23337,0.65741,2.29888,1.50986,,
"2025-06-17 15:50:00",3.28759,0.73149,2.09713,1.51277,,
"2025-06-17 16:50:00",3.2998,0.73325,2.40569,1.55452,,
"2025-06-17 17:50:00",3.57577,0.69345,1.9349,1.57559,,
"2025-06-17 18:50:00",3.5722,0.7763,2.42157,1.66148,,
"2025-06-17 19:50:00",3.52399,0.74273,2.60439,1.62524,,
"2025-06-17 20:50:00",3.40773,0.8025,2.34747,1.63081,,
"2025-06-17 21:50:00",3.34251,0.80548,2.28251,1.57656,,
"2025-06-17 22:50:00",3.4437,0.81194,2.35747,1.54647,,
"2025-06-17 23:50:00",3.42877,0.75301,2.4519,1.51966,,
"2025-06-18 00:50:00",3.37842,0.75552,2.11436,1.60008,,
"2025-06-18 01:50:00",3.37936,0.80091,2.44205,1.60927,,
"2025-06-18 02:50:00",3.47945,0.73138,2.13972,1.61616,,
"2025-06-18 03:50:00",3.56718,0.7129,2.12913,1.57146,,
"2025-06-18 04:50:00",3.36915,0.77529,2.34688,1.58506,,
"2025-06-18 05:50:00",3.57073,0.77743,2.3035,1.53892,,
"2025-06-18 06:50:00",3.32675,0.7316,2.38198,1.60338,,
"2025-06-18 07:50:00",3.61967,0.69169,2.04154,1.62744,,
"2025-06-18 08:50:00",3.64378,0.75095,2.23984,1.56915,,
"2025-06-18 09:50:00",3.62505,0.71268,2.12877,1.59899,,
"2025-06-18 10:50:00",3.52216,0.81577,2.21603,1.65623,,
"2025-06-18 11:50:00",3.62995,0.76395,2.27456,1.58984,,
"2025-06-18 12:50:00",3.6007,0.75516,2.17397,1.62212,,
"2025-06-18 14:50:00",3.44099,0.73688,2.2873,1.58048,,
"2025-06-18 15:50:00",3.99819,0.69797,1.84424,1.73694,,
"2025-06-18 16:50:00",4.23452,0.72142,1.66134,1.91117,,
"2025-06-18 17:50:00",3.88292,0.78264,2.0424,1.87719,,
"2025-06-18 18:50:00",3.85046,0.66127,1.83081,1.76724,,
"2025-06-18 19:50:00",3.88429,0.68252,1.55457,1.75109,,
"2025-06-18 20:50:00",3.87385,0.69505,1.79829,1.83116,,
"2025-06-18 21:50:00",3.93101,0.69794,1.80276,1.62005,,
"2025-06-18 22:50:00",3.75587,0.76915,1.9065,1.58577,,
"2025-06-18 23:50:00",3.61255,0.68927,1.82224,1.57448,,
"2025-06-19 00:50:00",3.57297,0.70251,1.8248,1.60239,,
"2025-06-19 01:50:00",3.61531,0.71218,1.90922,1.56531,,
"2025-06-19 02:50:00",3.74774,0.68575,1.93062,1.60982,,
"2025-06-19 03:50:00",3.66519,0.736,2.00019,1.66518,,
"2025-06-19 04:50:00",3.12016,0.63836,1.81394,1.59439,,
"2025-06-19 05:50:00",3.31317,0.68642,2.52908,1.66971,,
"2025-06-19 06:50:00",3.58616,0.66132,2.19683,1.58639,,
"2025-06-19 07:50:00",3.43326,0.74829,2.37144,1.58836,,
"2025-06-19 08:50:00",4.1364,0.74977,2.58202,1.92415,,
"2025-06-19 09:50:00",4.02318,0.69591,2.60688,1.90169,,
"2025-06-19 10:50:00",4.16877,0.73696,1.70538,1.90971,,
"2025-06-19 11:50:00",3.80816,0.68142,1.79358,1.73574,,
"2025-06-19 12:50:00",3.95145,0.71685,2.402,1.65914,,
"2025-06-19 13:50:00",3.78388,0.67596,1.92511,1.6198,,
"2025-06-19 14:50:00",3.7583,0.75431,2.27548,1.52539,,
"2025-06-19 15:50:00",3.63762,0.67783,2.14031,1.62098,,
"2025-06-19 16:50:00",3.5606,0.66994,1.88558,1.60222,,
"2025-06-19 17:50:00",3.55915,0.70576,2.3252,1.62207,,
"2025-06-19 18:50:00",3.5327,0.69035,2.25872,1.64399,,
"2025-06-19 19:50:00",3.66259,0.68776,2.31982,1.5957,,
"2025-06-19 20:50:00",3.74476,0.72827,2.02448,1.63079,,
"2025-06-19 21:50:00",3.5532,0.67391,2.57296,1.55884,,
"2025-06-19 22:50:00",3.53942,0.74715,2.75897,1.54815,,
"2025-06-19 23:50:00",3.73144,0.78568,2.50591,1.59218,,
"2025-06-20 00:50:00",3.87205,0.72951,2.13483,1.75588,,
"2025-06-20 01:50:00",3.57462,0.72657,2.64445,1.51732,,
"2025-06-20 02:50:00",3.67838,0.71132,2.21613,1.639,,
"2025-06-20 03:50:00",3.6989,0.70909,1.93872,1.65624,,
"2025-06-20 04:50:00",3.70526,0.77026,2.5135,1.6151,,
"2025-06-20 04:50:00",3.70526,,,,,
"2025-06-20 05:50:00",3.56516,0.79212,2.58645,1.65193,,
"2025-06-20 05:50:00",3.56516,,,,,
"2025-06-20 06:50:00",3.6747,0.72541,2.28143,1.55799,,
"2025-06-20 07:50:00",3.73882,0.74551,2.25261,1.6124,,
"2025-06-20 07:50:00",3.73882,,,,,
"2025-06-20 08:50:00",3.64957,0.75203,2.61375,1.60842,,
"2025-06-20 08:50:00",3.64957,,,,,
"2025-06-20 09:50:00",3.6374,0.73286,2.53481,1.55739,,
"2025-06-20 09:50:00",3.6374,,,,,
"2025-06-20 10:50:00",3.53093,0.74848,2.66908,1.61982,,
"2025-06-20 11:50:00",4.18461,0.70173,2.08399,1.92218,,
"2025-06-20 12:50:00",3.70435,0.79626,2.43365,1.65676,,
"2025-06-20 13:50:00",3.58875,0.73949,2.25192,1.55214,,
"2025-06-20 14:50:00",3.68638,0.74818,2.42956,1.62379,,
"2025-06-20 15:50:00",3.71295,0.75126,2.47019,1.56243,,
"2025-06-20 16:50:00",3.42116,0.70049,2.12772,1.55717,,
"2025-06-20 17:50:00",3.39864,0.70808,2.08655,1.56575,,
"2025-06-20 18:50:00",3.3255,0.74327,2.37151,1.53706,,
"2025-06-20 19:50:00",3.30821,0.73788,2.24166,1.49522,,
"2025-06-20 20:50:00",3.5278,0.77072,2.48684,1.59761,,
"2025-06-20 21:50:00",3.42872,0.73078,2.28438,1.6217,,
"2025-06-20 22:50:00",3.43958,0.73262,2.24351,1.55643,,
"2025-06-20 23:50:00",3.4632,0.74164,2.2548,1.51089,,
"2025-06-21 00:50:00",3.48352,0.72705,2.45388,1.66329,,
"2025-06-21 01:50:00",3.62815,0.66134,2.30976,1.59876,,
"2025-06-21 02:50:00",3.64291,0.70778,2.32182,1.63222,,
"2025-06-21 03:50:00",3.61538,0.74453,2.49345,1.64339,,
"2025-06-21 04:50:00",3.61329,0.71404,2.98232,1.60453,,
"2025-06-21 05:50:00",3.79854,0.72838,2.79213,1.6333,,
"2025-06-21 06:50:00",3.57845,0.71065,2.72762,1.57485,,
"2025-06-21 07:50:00",3.63236,0.70946,2.34776,1.6291,,
"2025-06-21 08:50:00",3.55536,0.72906,2.54477,1.61098,,
"2025-06-21 09:50:00",3.57611,0.72082,2.20264,1.61943,,
"2025-06-21 10:50:00",4.05832,0.73327,2.93978,1.92738,,
"2025-06-21 11:50:00",3.74175,0.72225,3.03191,1.54595,,
"2025-06-21 12:50:00",3.60999,0.71013,2.85829,1.61382,,
"2025-06-21 13:50:00",3.64051,0.75672,2.89206,1.61335,,
"2025-06-21 14:50:00",3.73791,0.72786,2.83103,1.59597,,
"2025-06-21 15:50:00",3.74933,0.71542,3.04102,1.57783,,
"2025-06-21 16:50:00",3.78922,0.7373,2.59472,1.68636,,
"2025-06-21 17:50:00",3.7004,0.69374,1.93009,1.62068,,
"2025-06-21 18:50:00",3.65813,0.74902,2.851,1.63122,,
"2025-06-21 19:50:00",3.55901,0.73747,2.28774,1.66064,,
"2025-06-21 20:50:00",3.47716,0.71961,2.34896,1.54187,,
"2025-06-21 21:50:00",3.63074,0.71162,2.25974,1.58969,,
"2025-06-21 22:50:00",3.53077,0.67042,1.79743,1.57546,,
"2025-06-21 23:50:00",3.65461,0.70098,2.65665,1.52912,,
"2025-06-22 00:50:00",3.61778,0.72952,2.43664,1.70909,,
"2025-06-22 01:50:00",3.7219,0.71406,1.82478,1.54577,,
"2025-06-22 02:50:00",3.66764,0.73778,2.51731,1.6079,,
"2025-06-22 03:50:00",3.74866,0.69215,2.48753,1.64946,,
"2025-06-22 04:50:00",3.75734,0.7392,2.61085,1.71393,,
"2025-06-22 05:50:00",3.80778,0.70517,2.40497,1.71216,,
