"DateTime","4RH","1RV","2RV","3RH","Series 5","Series 6","Series 7"
"2025-06-17 10:46:00",0.87216,1.35886,6.7419,0.62021,,,
"2025-06-17 11:46:00",0.91859,1.0078,6.75968,0.67248,,,
"2025-06-17 12:46:00",0.86369,1.14609,6.54765,0.64203,,,
"2025-06-17 13:46:00",0.98866,1.09761,6.36203,0.68636,,,
"2025-06-17 14:46:00",0.9652,1.04792,7.58385,0.69133,,,
"2025-06-17 15:46:00",0.97982,0.96679,5.90711,0.68545,,,
"2025-06-17 16:46:00",0.88713,0.98966,4.70474,0.60628,,,
"2025-06-17 17:46:00",0.87161,0.99424,5.68873,0.61045,,,
"2025-06-17 18:46:00",0.88576,0.9227,6.31128,0.598,,,
"2025-06-17 19:46:00",0.90256,0.99763,5.17322,0.64388,,,
"2025-06-17 20:46:00",0.97108,0.95664,4.74053,0.6725,,,
"2025-06-17 21:46:00",0.90928,0.93241,5.18163,0.64405,,,
"2025-06-17 22:46:00",0.96839,1.06012,4.83115,0.68229,,,
"2025-06-17 23:46:00",0.92315,1.07218,5.17826,0.646,,,
"2025-06-18 00:46:00",0.9084,0.78286,4.29857,0.613,,,
"2025-06-18 01:46:00",0.8899,0.88956,4.98145,0.59297,,,
"2025-06-18 02:46:00",0.84986,0.98137,5.6313,0.60199,,,
"2025-06-18 03:46:00",0.86741,0.88057,5.3869,0.59673,,,
"2025-06-18 04:46:00",0.86631,0.89821,5.94359,0.60931,,,
"2025-06-18 05:46:00",0.89478,0.92294,4.42414,0.62251,,,
"2025-06-18 06:46:00",0.91559,0.94237,5.4819,0.62215,,,
"2025-06-18 07:46:00",1.00752,0.87185,5.39434,0.67114,,,
"2025-06-18 08:46:00",0.99973,0.95339,4.57473,0.70081,,,
"2025-06-18 09:46:00",1.00468,1.08749,6.36186,0.68145,,,
"2025-06-18 10:46:00",0.94753,0.95804,6.40763,0.66536,,,
"2025-06-18 11:46:00",0.94401,0.88399,5.04416,0.67476,,,
"2025-06-18 12:46:00",0.88893,0.82707,5.10221,0.61188,,,
"2025-06-18 13:46:00",0.93883,0.85179,5.30054,0.63928,,,
"2025-06-18 14:46:00",0.98049,0.97926,5.86471,0.67706,,,
"2025-06-18 15:46:00",1.02291,0.81734,4.70507,0.71489,,,
"2025-06-18 16:46:00",0.95153,0.91298,4.69537,0.6198,,,
"2025-06-18 17:46:00",0.98962,1.04194,5.99126,0.63545,,,
"2025-06-18 18:46:00",0.99564,0.97377,6.1507,0.62231,,,
"2025-06-18 19:46:00",0.97633,0.96988,5.00067,0.63538,,,
"2025-06-18 20:46:00",1.00438,1.00757,6.23282,0.58555,,,
"2025-06-18 21:46:00",0.94259,1.00881,7.54353,0.66991,,,
"2025-06-18 22:46:00",1.26769,0.83818,4.61092,0.80548,,,
"2025-06-18 23:46:00",1.04499,0.83438,5.18872,0.61612,,,
"2025-06-19 00:46:00",0.98697,0.89375,5.24154,0.597,,,
"2025-06-19 01:46:00",0.91576,0.79616,5.30001,0.61994,,,
"2025-06-19 02:46:00",0.98981,0.9,4.97683,0.65796,,,
"2025-06-19 03:46:00",0.98655,0.7948,4.80633,0.66086,,,
"2025-06-19 04:46:00",0.91872,0.8168,5.25885,0.59517,,,
"2025-06-19 05:46:00",1.28397,1.01043,6.67281,0.8694,,,
"2025-06-19 06:46:00",1.22362,0.80639,5.22184,0.84219,,,
"2025-06-19 07:46:00",1.235,0.89034,5.408,0.81184,,,
"2025-06-19 08:46:00",0.83536,0.90491,5.27194,0.63104,,,
"2025-06-19 09:46:00",1.59529,0.91361,4.93598,0.85959,,,
"2025-06-19 10:46:00",1.44802,0.93604,5.06968,1.01481,,,
"2025-06-19 11:46:00",1.09153,0.84851,5.69645,0.61109,,,
"2025-06-19 12:46:00",1.34868,0.84114,5.29737,0.84404,,,
"2025-06-19 13:46:00",1.26863,0.87266,4.93914,0.83924,,,
"2025-06-19 14:46:00",1.24028,0.86866,4.7414,0.79709,,,
"2025-06-19 15:46:00",0.88338,0.80438,4.09277,0.57473,,,
"2025-06-19 16:46:00",0.90088,0.97618,6.82195,0.61001,,,
"2025-06-19 17:46:00",0.9823,1.07821,6.8647,0.64731,,,
"2025-06-19 18:46:00",1.19657,0.8278,5.41108,0.79906,,,
"2025-06-19 19:46:00",1.22819,0.95926,6.88326,0.81103,,,
"2025-06-19 20:46:00",1.25545,0.84957,5.09943,0.83187,,,
"2025-06-19 21:46:00",0.92137,0.86728,5.06681,0.58512,,,
"2025-06-19 22:46:00",0.92767,1.01171,5.66833,0.63877,,,
"2025-06-19 23:46:00",1.01334,0.9048,6.06497,0.66333,,,
"2025-06-20 00:46:00",1.26674,1.10956,6.65593,0.79376,,,
"2025-06-20 01:46:00",1.00732,1.02813,5.86536,0.60036,,,
"2025-06-20 02:46:00",1.23456,1.19581,5.9179,0.81366,,,
