"DateTime","7RV-O","8RV-O","1RV-O","2RV-O","2AX-O","3RV-O","6RV-O","Series 8"
"2025-11-05 01:42:00",1.18097,1.92263,0.32608,0.26706,0.37189,0.81331,1.68079,
"2025-11-05 02:42:00",1.17874,1.8885,0.3222,0.28283,0.3598,0.81547,1.71316,
"2025-11-05 02:42:00",1.17874,,,,,,,
"2025-11-05 03:42:00",1.19658,1.9511,0.32061,0.27535,0.36798,0.79968,1.66811,
"2025-11-05 03:42:00",,,0.32061,,,,,
"2025-11-05 04:42:00",1.15157,1.87212,0.31669,0.29612,0.37733,0.80792,1.73043,
"2025-11-05 04:42:00",,,,0.29612,,,,
"2025-11-05 05:42:00",1.2004,1.90529,0.31917,0.29959,0.37171,0.81026,1.74053,
"2025-11-05 06:42:00",1.17073,1.93033,0.31617,0.31324,0.36252,0.81807,1.7005,
"2025-11-05 07:42:00",1.11312,1.77877,0.31241,0.29997,0.36535,0.80679,1.7139,
"2025-11-05 07:42:00",1.11312,,,,,,,
"2025-11-05 08:42:00",1.16186,1.83285,0.31984,0.28839,0.37633,0.81404,1.7423,
"2025-11-05 08:42:00",,,,,,0.81404,,
"2025-11-05 09:42:00",1.15784,1.86181,0.3215,0.28866,0.37893,0.81241,1.73487,
"2025-11-05 10:42:00",1.14377,1.89165,0.32589,0.29142,0.37354,0.79888,1.6862,
"2025-11-05 11:42:00",1.18629,1.88966,0.35303,0.28673,0.36232,0.81267,1.67832,
"2025-11-05 12:42:00",1.2164,1.99936,0.36811,0.27303,0.38398,0.82398,1.65042,
"2025-11-05 13:42:00",1.13921,1.91041,0.34261,0.27582,0.37018,0.81357,1.62349,
"2025-11-05 13:42:00",,,0.34261,,,,,
"2025-11-05 14:42:00",1.15613,1.80753,0.33676,0.2769,0.36159,0.8196,1.63641,
"2025-11-05 15:42:00",1.11206,1.85616,0.33495,0.2818,0.35358,0.82057,1.65203,
"2025-11-05 16:42:00",1.12611,1.84362,0.32706,0.27314,0.35281,0.81405,1.63789,
"2025-11-05 16:42:00",1.12611,,,,,,,
"2025-11-05 17:42:00",1.15828,1.91049,0.33746,0.28068,0.35693,0.82608,1.66568,
"2025-11-05 18:42:00",1.1788,1.86514,0.33694,0.26513,0.35687,0.81012,1.66311,
"2025-11-05 18:42:00",1.1788,,,,,,,
"2025-11-05 18:42:00",1.1788,,,,,,,
"2025-11-05 19:42:00",1.21434,1.9392,0.34132,0.26812,0.35212,0.80508,1.63802,
"2025-11-05 20:42:00",1.18923,1.94188,0.33672,0.27316,0.34942,0.80495,1.67408,
"2025-11-05 20:42:00",,,0.33672,,0.34942,,,
"2025-11-05 21:42:00",1.20483,1.93897,0.32922,0.2661,0.35659,0.80434,1.72649,
"2025-11-05 22:42:00",1.17958,1.90159,0.3321,0.27657,0.35652,0.80792,1.71711,
"2025-11-05 22:42:00",,,,,0.35652,,,
"2025-11-05 23:42:00",1.2117,1.86121,0.32496,0.27173,0.3499,0.79439,1.75521,
"2025-11-06 00:42:00",1.16208,1.90683,0.3296,0.26514,0.36349,0.81063,1.72158,
"2025-11-06 01:42:00",1.15247,1.82821,0.32404,0.2637,0.35641,0.80195,1.71625,
"2025-11-06 02:42:00",1.14,1.8209,0.32834,0.27975,0.35868,0.79016,1.71964,
"2025-11-06 02:42:00",,,,,,0.79016,,
"2025-11-06 03:42:00",1.19552,1.92023,0.32743,0.28706,0.35605,0.79816,1.73583,
"2025-11-06 04:42:00",1.18248,1.79547,0.31796,0.28865,0.34256,0.78584,1.7144,
"2025-11-06 05:42:00",1.15877,1.98865,0.31733,0.30026,0.35198,0.80672,1.74809,
"2025-11-06 06:42:00",1.15152,1.82732,0.31746,0.30402,0.34514,0.79353,1.70827,
