"DateTime","7RV-O","8RV-O","1RV-O","2RV-O","2AX-O","3RV-O","6RV-O","Series 8"
"2025-11-05 01:42:00",4.10455,4.84453,1.3333,1.22148,1.54769,2.09235,3.67871,
"2025-11-05 02:42:00",4.26558,5.01001,1.33188,1.26449,1.587,2.13799,3.65483,
"2025-11-05 02:42:00",4.26558,,,,,,,
"2025-11-05 03:42:00",4.49359,5.35513,1.37442,1.24802,1.62025,2.16632,3.7916,
"2025-11-05 03:42:00",,,1.37442,,,,,
"2025-11-05 04:42:00",4.12861,4.8523,1.3958,1.27663,1.64347,2.11403,3.61544,
"2025-11-05 04:42:00",,,,1.27663,,,,
"2025-11-05 05:42:00",4.15027,4.86732,1.33171,1.26357,1.57722,2.06239,3.68035,
"2025-11-05 06:42:00",4.16422,4.91929,1.32871,1.25377,1.54745,2.1122,3.7164,
"2025-11-05 07:42:00",4.13243,4.92617,1.34192,1.17986,1.58983,2.11319,3.46311,
"2025-11-05 07:42:00",4.13243,,,,,,,
"2025-11-05 08:42:00",4.08611,4.77252,1.29839,1.20159,1.54231,2.12145,3.70915,
"2025-11-05 08:42:00",,,,,,2.12145,,
"2025-11-05 09:42:00",4.06496,4.79324,1.32699,1.23232,1.57504,2.05749,3.63796,
"2025-11-05 10:42:00",4.21604,4.88267,1.29314,1.23565,1.50894,2.14349,3.63143,
"2025-11-05 11:42:00",4.24511,5.0693,1.40722,1.28548,1.68145,2.18488,3.65106,
"2025-11-05 12:42:00",4.2609,5.0588,1.39025,1.33274,1.68138,2.19653,3.83558,
"2025-11-05 13:42:00",4.21369,5.02705,1.39138,1.30145,1.6908,2.15254,3.72021,
"2025-11-05 13:42:00",,,1.39138,,,,,
"2025-11-05 14:42:00",3.97042,4.78753,1.35889,1.19345,1.61617,2.08826,3.54043,
"2025-11-05 15:42:00",4.22256,4.9212,1.3795,1.22855,1.66117,2.10976,3.86271,
"2025-11-05 16:42:00",4.13004,4.84145,1.33323,1.22257,1.57815,2.07573,3.81764,
"2025-11-05 16:42:00",4.13004,,,,,,,
"2025-11-05 17:42:00",4.31121,5.14794,1.41789,1.29349,1.68406,2.17851,3.72946,
"2025-11-05 18:42:00",4.1888,4.8926,1.34118,1.22185,1.57939,2.07313,3.61063,
"2025-11-05 18:42:00",4.1888,,,,,,,
"2025-11-05 18:42:00",4.1888,,,,,,,
"2025-11-05 19:42:00",4.18997,4.91764,1.38182,1.29678,1.66613,2.18894,3.73693,
"2025-11-05 20:42:00",4.34272,5.10473,1.35219,1.30649,1.61085,2.12151,3.57715,
"2025-11-05 20:42:00",,,1.35219,,1.61085,,,
"2025-11-05 21:42:00",4.2546,5.04237,1.36518,1.28093,1.64775,2.13429,3.70095,
"2025-11-05 22:42:00",4.12239,4.83473,1.2847,1.19354,1.52494,2.06502,3.6114,
"2025-11-05 22:42:00",,,,,1.52494,,,
"2025-11-05 23:42:00",4.3685,5.19476,1.3102,1.2197,1.55783,2.05486,3.60325,
"2025-11-06 00:42:00",4.05484,4.76762,1.52264,1.18375,1.7808,2.03439,3.53019,
"2025-11-06 01:42:00",4.0786,4.79365,1.32229,1.19481,1.51261,2.0646,3.51617,
"2025-11-06 02:42:00",4.29098,5.09554,1.37738,1.21937,1.64389,2.10295,3.6206,
"2025-11-06 02:42:00",,,,,,2.10295,,
"2025-11-06 03:42:00",4.03452,4.79355,1.37809,1.20753,1.60798,2.11023,3.54447,
"2025-11-06 04:42:00",4.15346,4.90622,1.37116,1.20917,1.59485,2.07903,3.66249,
"2025-11-06 05:42:00",4.2926,5.05569,1.31194,1.21009,1.58747,2.08604,3.56187,
"2025-11-06 06:42:00",4.12436,4.85384,1.22366,1.13452,1.46694,1.98952,3.49339,
"2025-11-06 07:42:00",4.14836,4.80215,1.31913,1.182,1.567,2.04412,3.57829,
"2025-11-06 07:42:00",,,,,,2.04412,,
"2025-11-06 08:42:00",4.26367,5.02384,1.28177,1.21035,1.50419,2.01898,3.56228,
"2025-11-06 09:42:00",4.21371,4.98996,1.36791,1.16261,1.59627,2.09772,3.56246,
"2025-11-06 10:42:00",4.26961,5.11868,1.35616,1.16559,1.66689,2.05782,3.71025,
