"DateTime","10RH","11RV","10RV","1RV","2RH","3RV","9RV","11RH"
"2025-11-05 01:19:00",0.04151,0.02976,0.05386,0.23871,0.35571,0.25264,0.10651,0.02266
"2025-11-05 01:19:00",,,,,0.35571,,,
"2025-11-05 02:19:00",0.04577,0.03484,0.05311,0.24415,0.36408,0.24533,0.10642,0.02723
"2025-11-05 03:19:00",0.04957,0.04211,0.05633,0.24754,0.35845,0.24435,0.10819,0.02954
"2025-11-05 03:19:00",,,,,0.35845,,,0.02954
"2025-11-05 04:19:00",0.03845,0.02961,0.05403,0.24525,0.33022,0.24243,0.10783,0.02352
"2025-11-05 04:19:00",,,,,,,0.10783,0.02352
"2025-11-05 05:19:00",0.03771,0.0299,0.04977,0.24702,0.30308,0.24717,0.1142,0.02017
"2025-11-05 06:19:00",0.03791,0.02859,0.05426,0.24991,0.32766,0.23991,0.10345,0.01999
"2025-11-05 07:19:00",0.04011,0.03029,0.05319,0.25152,0.32738,0.24027,0.10901,0.02297
"2025-11-05 08:19:00",0.03547,0.02641,0.05392,0.32023,0.32907,0.24004,0.10944,0.02096
"2025-11-05 09:19:00",0.03742,0.02639,0.04825,0.2777,0.30273,0.24361,0.11421,0.02267
"2025-11-05 09:19:00",,,,,,0.24361,,
"2025-11-05 10:19:00",0.03876,0.02708,0.05297,0.30767,0.30818,0.23952,0.10848,0.01989
"2025-11-05 10:19:00",,,0.05297,,,,,
"2025-11-05 11:19:00",0.03881,0.02705,0.04812,0.24726,0.3305,0.24294,0.1048,0.01959
"2025-11-05 12:19:00",0.03756,0.02595,0.0555,0.24948,0.36384,0.24902,0.10802,0.02333
"2025-11-05 13:19:00",0.03886,0.02944,0.04843,0.26385,0.42076,0.25284,0.10278,0.02095
"2025-11-05 14:19:00",0.03897,0.02732,0.04965,0.26192,0.42614,0.25531,0.10581,0.02
"2025-11-05 14:19:00",,,,,,0.25531,,
"2025-11-05 15:19:00",0.04173,0.0308,0.05131,0.25776,0.41698,0.25349,0.10473,0.02098
"2025-11-05 16:19:00",0.03993,0.03274,0.05212,0.27142,0.34259,0.24711,0.11057,0.02188
"2025-11-05 17:19:00",0.03711,0.03079,0.04675,0.26165,0.31321,0.2389,0.11279,0.02059
"2025-11-05 18:19:00",0.0361,0.0285,0.04719,0.24833,0.37736,0.24878,0.10189,0.01918
"2025-11-05 19:19:00",0.0394,0.02786,0.05112,0.25111,0.39018,0.24712,0.10687,0.01986
"2025-11-05 19:19:00",,,,,0.39018,,,0.01986
"2025-11-05 20:19:00",0.03892,0.02947,0.05134,0.24316,0.33832,0.24296,0.10956,0.02016
"2025-11-05 20:19:00",0.03892,,,,,,,
"2025-11-05 21:19:00",0.03608,0.0264,0.05326,0.22983,0.30258,0.24063,0.1114,0.02057
"2025-11-05 21:19:00",,,,,0.30258,,,
"2025-11-05 22:19:00",0.0355,0.02746,0.05032,0.24315,0.3079,0.24171,0.1072,0.02153
"2025-11-05 22:19:00",,,,,,,0.1072,
"2025-11-05 23:19:00",0.04017,0.03058,0.0511,0.26089,0.38038,0.24275,0.10161,0.02201
"2025-11-05 23:19:00",,,,,0.38038,,,
"2025-11-06 00:19:00",0.04164,0.03539,0.04895,0.27039,0.38155,0.24557,0.10441,0.02185
"2025-11-06 01:19:00",0.03747,0.03294,0.05084,0.27456,0.40869,0.24532,0.10548,0.02192
"2025-11-06 01:19:00",0.03747,,,,,,,
"2025-11-06 02:19:00",0.04367,0.0312,0.05186,0.25873,0.32229,0.24267,0.11455,0.02218
"2025-11-06 03:19:00",0.0395,0.03302,0.05269,0.2667,0.3111,0.23928,0.10748,0.02276
"2025-11-06 03:19:00",,,0.05269,,,,,
"2025-11-06 04:19:00",0.03881,0.03006,0.0501,0.27855,0.38586,0.23988,0.09933,0.01985
"2025-11-06 05:19:00",0.04398,0.03262,0.04728,0.28878,0.43829,0.24304,0.10075,0.02246
"2025-11-06 05:19:00",0.04398,,0.04728,,,,,
"2025-11-06 06:19:00",0.04057,0.03113,0.04959,0.28421,0.45873,0.24465,0.102,0.0229
"2025-11-06 07:19:00",0.04075,0.03747,0.0506,0.27306,0.39515,0.24252,0.10273,0.02295
"2025-11-06 08:19:00",0.04442,0.03642,0.051,0.25179,0.30981,0.2437,0.11953,0.02384
