"DateTime","5RV","7RV","11RH","10RH","1RV","2RH","3RV","9RV"
"2025-11-05 01:02:00",0.16633,0.20325,0.17997,0.08248,0.29695,0.276,0.39135,0.14611
"2025-11-05 02:02:00",0.171,0.20203,0.27971,0.08235,0.2928,0.28079,0.38271,0.14341
"2025-11-05 03:02:00",0.16628,0.20076,0.37731,0.08168,0.2863,0.2662,0.38786,0.14439
"2025-11-05 03:02:00",,,,,,,0.38786,
"2025-11-05 04:02:00",0.16607,0.20055,0.11171,0.08465,0.29015,0.26355,0.38196,0.14812
"2025-11-05 04:02:00",,,,0.08465,,,,
"2025-11-05 05:02:00",0.16635,0.19327,0.32929,0.0808,0.28625,0.26494,0.37192,0.15002
"2025-11-05 06:02:00",0.16325,0.1974,0.71634,0.07944,0.29348,0.27245,0.37695,0.14747
"2025-11-05 07:02:00",0.16305,0.20025,0.55046,0.08435,0.29526,0.2809,0.38026,0.14944
"2025-11-05 08:02:00",0.16833,0.20257,0.22517,0.07867,0.28845,0.27254,0.38063,0.1468
"2025-11-05 08:02:00",,,,0.07867,,,,
"2025-11-05 09:02:00",0.16827,0.19662,0.42685,0.08053,0.28476,0.26546,0.37561,0.15482
"2025-11-05 09:02:00",,,0.42685,0.08053,,,,0.15482
"2025-11-05 10:02:00",0.1647,0.19243,0.22135,0.08432,0.29055,0.2668,0.37217,0.14711
"2025-11-05 10:02:00",,,,0.08432,,,,
"2025-11-05 11:02:00",0.16666,0.19852,0.36452,0.07207,0.30043,0.28567,0.3773,0.14428
"2025-11-05 12:02:00",0.16827,0.20688,0.90276,0.07739,0.29942,0.27986,0.38678,0.1454
"2025-11-05 12:02:00",,,0.90276,,,,,
"2025-11-05 13:02:00",0.17099,0.20544,0.13621,0.07389,0.29712,0.2931,0.38051,0.14357
"2025-11-05 13:02:00",,,,,0.29712,,,
"2025-11-05 14:02:00",0.17355,0.21024,0.0975,0.08012,0.28526,0.28407,0.37791,0.1425
"2025-11-05 14:02:00",,,0.0975,,,,0.37791,
"2025-11-05 15:02:00",0.16666,0.20313,0.31954,0.07723,0.28014,0.2658,0.38288,0.14369
"2025-11-05 15:02:00",,,,0.07723,0.28014,,,
"2025-11-05 16:02:00",0.16873,0.2045,0.59699,0.07736,0.29259,0.26319,0.38089,0.14626
"2025-11-05 16:02:00",,,,,,,,0.14626
"2025-11-05 17:02:00",0.17026,0.20073,0.28891,0.07974,0.30251,0.26804,0.37896,0.14996
"2025-11-05 17:02:00",,,,0.07974,0.30251,,0.37896,
"2025-11-05 18:02:00",0.1712,0.2075,0.37441,0.07718,0.29994,0.27503,0.38577,0.14523
"2025-11-05 18:02:00",,,,,,,,0.14523
"2025-11-05 19:02:00",0.17324,0.20397,0.60649,0.07318,0.28527,0.28139,0.37227,0.14198
"2025-11-05 19:02:00",,,0.60649,,,,,
"2025-11-05 20:02:00",0.16417,0.19837,0.13325,0.08029,0.29429,0.26478,0.38781,0.14555
"2025-11-05 21:02:00",0.16985,0.19509,0.24769,0.08256,0.2937,0.26335,0.37132,0.15157
"2025-11-05 22:02:00",0.16929,0.20022,0.10529,0.07593,0.29407,0.27356,0.38163,0.14498
"2025-11-05 22:02:00",,,,,0.29407,,,
"2025-11-05 23:02:00",0.17007,0.20656,0.7007,0.07776,0.29654,0.28832,0.38326,0.13973
"2025-11-05 23:02:00",,,,,,,,0.13973
"2025-11-06 00:02:00",0.1693,0.20213,0.10407,0.07529,0.2897,0.2775,0.38123,0.13996
"2025-11-06 00:02:00",,,,,0.2897,,0.38123,
"2025-11-06 01:02:00",0.16814,0.20485,0.16285,0.07921,0.29013,0.27553,0.37883,0.1398
"2025-11-06 01:02:00",0.16814,0.20485,,0.07921,,,0.37883,
"2025-11-06 02:02:00",0.16491,0.19796,0.21412,0.07586,0.28639,0.26449,0.38101,0.14106
"2025-11-06 03:02:00",0.17271,0.19768,0.30986,0.08605,0.30313,0.26128,0.36888,0.15524
"2025-11-06 03:02:00",0.17271,,0.30986,0.08605,,,,
"2025-11-06 04:02:00",0.17127,0.20467,0.6075,0.08143,0.29634,0.2828,0.37755,0.14102
"2025-11-06 04:02:00",,,,,,0.2828,,
"2025-11-06 05:02:00",0.1716,0.20174,0.29728,0.07509,0.2993,0.28998,0.36802,0.14052
"2025-11-06 05:02:00",,,,,0.2993,,,
"2025-11-06 06:02:00",0.17286,0.20384,0.15497,0.0793,0.29512,0.29455,0.36516,0.14036
"2025-11-06 07:02:00",0.17184,0.204,0.14563,0.07919,0.29246,0.28466,0.37857,0.14352
