"DateTime","5RV","7RV","11RH","10RH","1RV","2RH","3RV","9RV"
"2025-11-05 01:02:00",2.92996,4.55572,57.27338,6.20204,12.70705,8.4259,3.24083,3.81496
"2025-11-05 02:02:00",2.84771,4.40656,59.63835,6.58685,12.97827,8.94468,3.05462,4.10445
"2025-11-05 03:02:00",3.13113,4.55224,80.84935,6.80905,12.84758,8.66357,3.10071,4.48816
"2025-11-05 03:02:00",,,,,,,3.10071,
"2025-11-05 04:02:00",3.03343,4.45042,63.98864,6.50998,12.51613,8.57471,3.185,4.27385
"2025-11-05 04:02:00",,,,6.50998,,,,
"2025-11-05 05:02:00",3.01792,4.75923,140.14595,6.28001,13.18603,9.10776,3.22269,3.86437
"2025-11-05 06:02:00",3.382,4.91743,146.863159,6.57237,12.44616,8.20668,3.35765,4.33421
"2025-11-05 07:02:00",3.29853,5.13747,69.9631,6.5199,13.03493,8.50574,3.39028,4.07223
"2025-11-05 08:02:00",3.00296,4.58803,56.39718,6.03716,12.41738,8.23087,3.1906,3.77745
"2025-11-05 08:02:00",,,,6.03716,,,,
"2025-11-05 09:02:00",3.12351,4.7905,173.5755,5.41338,12.34252,8.15382,3.30387,3.39902
"2025-11-05 09:02:00",,,173.5755,5.41338,,,,3.39902
"2025-11-05 10:02:00",3.23432,4.83954,66.89376,5.4057,12.4091,8.29367,3.34446,3.45689
"2025-11-05 10:02:00",,,,5.4057,,,,
"2025-11-05 11:02:00",2.84774,4.5754,74.88429,6.38239,12.75996,8.2459,2.98591,3.94017
"2025-11-05 12:02:00",2.96372,4.28801,154.911819,7.07437,12.92189,8.67066,3.05543,4.64883
"2025-11-05 12:02:00",,,154.911819,,,,,
"2025-11-05 13:02:00",3.29558,4.65496,54.83367,6.57787,12.5166,8.11638,3.30466,4.38777
"2025-11-05 13:02:00",,,,,12.5166,,,
"2025-11-05 14:02:00",3.25462,4.78213,44.54564,7.36332,13.21916,8.66387,3.2988,4.75737
"2025-11-05 14:02:00",,,44.54564,,,,3.2988,
"2025-11-05 15:02:00",3.04939,4.60608,116.932808,6.71352,12.97584,8.834,3.26637,4.32817
"2025-11-05 15:02:00",,,,6.71352,12.97584,,,
"2025-11-05 16:02:00",3.12779,4.77171,67.94881,6.19783,13.01349,8.69904,3.30174,3.96694
"2025-11-05 16:02:00",,,,,,,,3.96694
"2025-11-05 17:02:00",3.18958,4.81857,79.4148,6.73229,13.15033,8.73658,3.31105,4.35456
"2025-11-05 17:02:00",,,,6.73229,13.15033,,3.31105,
"2025-11-05 18:02:00",3.19336,4.57356,64.63158,6.65363,12.19196,8.07559,3.13156,4.45982
"2025-11-05 18:02:00",,,,,,,,4.45982
"2025-11-05 19:02:00",3.26235,4.78965,84.42318,7.08043,13.48083,9.05017,3.12305,4.66199
"2025-11-05 19:02:00",,,84.42318,,,,,
"2025-11-05 20:02:00",3.05219,4.59258,50.22291,6.73266,13.23908,9.25051,3.15621,4.34167
"2025-11-05 21:02:00",3.06769,4.82401,65.03616,6.62251,13.51682,8.9219,3.14166,4.25187
"2025-11-05 22:02:00",2.85586,4.67421,58.83787,6.50616,13.5626,9.11771,3.09808,3.99811
"2025-11-05 22:02:00",,,,,13.5626,,,
"2025-11-05 23:02:00",3.03677,4.65676,159.0826,6.80902,14.65063,10.43745,3.22696,4.19143
"2025-11-05 23:02:00",,,,,,,,4.19143
"2025-11-06 00:02:00",3.01925,4.74381,111.521027,6.22766,15.23225,11.00939,3.33488,3.61642
"2025-11-06 00:02:00",,,,,15.23225,,3.33488,
"2025-11-06 01:02:00",2.96921,4.47613,50.76739,6.91209,15.01799,10.80966,3.19134,4.18385
"2025-11-06 01:02:00",2.96921,4.47613,,6.91209,,,3.19134,
"2025-11-06 02:02:00",3.27922,5.07145,91.41139,6.51377,15.53399,11.09693,3.29585,3.95059
"2025-11-06 03:02:00",3.23632,4.9751,86.17317,6.17726,14.88903,11.02677,3.49406,3.76609
"2025-11-06 03:02:00",3.23632,,86.17317,6.17726,,,,
"2025-11-06 04:02:00",3.19645,4.62124,119.588707,7.00132,14.51877,10.31186,3.34125,4.39339
"2025-11-06 04:02:00",,,,,,10.31186,,
"2025-11-06 05:02:00",3.20417,4.86085,72.63902,6.84005,16.06885,11.71159,3.40271,3.86714
"2025-11-06 05:02:00",,,,,16.06885,,,
"2025-11-06 06:02:00",2.72654,4.60368,60.6972,6.62213,15.73748,10.84002,2.9471,3.75944
"2025-11-06 07:02:00",2.93884,4.54417,24.60798,6.39694,14.36012,9.41597,3.07365,3.93893
"2025-11-06 08:02:00",2.99823,4.66694,76.8445,6.00807,15.12172,10.73289,3.26825,3.49374
"2025-11-06 08:02:00",,,76.8445,,,,,
