"DateTime","2RH","5RV","10RH","11RH","9RV","10RV","11RV","1RV"
"2026-02-19 00:42:00",5.44804,9.80453,2.84393,2.27181,5.79286,2.6334,3.16934,29.33269
"2026-02-19 01:42:00",5.45151,9.70385,3.01836,2.18818,5.48064,2.54242,3.31736,29.811
"2026-02-19 02:42:00",6.02631,9.33118,3.42705,2.37963,4.88219,2.44423,3.66933,29.12591
"2026-02-19 03:42:00",6.39424,9.67184,3.02596,2.24598,5.30104,2.48461,3.6515,30.12729
"2026-02-19 04:42:00",5.65518,9.68921,2.99974,2.4738,5.6524,2.58541,3.40858,30.16409
"2026-02-19 05:42:00",5.57743,9.57132,2.95413,2.19043,5.18786,2.43987,3.42331,29.92957
"2026-02-19 06:42:00",5.73582,9.5721,2.89284,2.21926,5.06632,2.44531,3.60604,29.87034
"2026-02-19 07:42:00",6.15666,9.85557,2.98243,2.38323,5.77349,2.58749,3.58247,30.39343
"2026-02-19 08:42:00",5.45301,9.87145,3.05954,2.33419,5.38138,2.44211,3.30948,30.092
"2026-02-19 09:42:00",5.99204,9.58941,2.78222,2.55718,5.27461,2.50881,3.34026,29.7131
"2026-02-19 10:42:00",5.66183,9.6504,3.24774,2.3964,5.12168,2.38362,3.10118,29.56576
"2026-02-19 11:42:00",5.43632,9.25302,2.93727,2.4146,5.56979,2.5363,3.19199,28.51879
"2026-02-19 12:42:00",4.89692,9.58084,2.68446,2.04918,4.69797,2.08268,2.94393,29.49151
"2026-02-19 13:42:00",4.73675,9.8738,2.89754,2.37281,4.8118,2.40461,3.16688,29.31576
"2026-02-19 14:42:00",5.5431,9.86854,3.44324,2.48906,5.06878,2.31653,3.48911,29.61903
"2026-02-19 15:42:00",5.89032,10.16298,3.01512,2.56521,5.08675,2.61455,3.38344,31.32241
"2026-02-19 16:42:00",6.13954,9.72294,2.65624,2.25405,5.52156,2.44963,3.40946,30.67911
"2026-02-19 17:42:00",5.61576,9.42648,2.68058,2.2295,4.66477,2.30582,3.09836,29.62223
"2026-02-19 18:42:00",5.17371,9.85711,2.74151,2.23592,4.52756,2.30523,2.94524,29.6773
"2026-02-19 19:42:00",5.19306,9.78991,2.70845,2.32089,4.80891,2.40842,3.16519,29.83307
"2026-02-19 20:42:00",5.36883,9.40005,2.67534,2.21348,4.68731,2.23342,3.15424,29.7369
"2026-02-19 21:42:00",5.72932,9.28367,2.75952,2.53351,4.68279,2.35488,3.26011,29.01637
"2026-02-19 22:42:00",5.63796,9.43112,2.39937,2.10076,4.39743,2.18728,3.11393,29.4372
"2026-02-19 23:42:00",5.43358,9.53355,2.48358,1.93268,4.60238,2.0109,3.17242,29.24667
"2026-02-20 00:42:00",5.73386,9.76745,2.69438,2.05087,4.74684,2.30831,3.39415,29.64598
"2026-02-20 01:42:00",5.45092,10.12021,2.69521,1.97565,4.61789,2.21934,3.15481,30.6068
"2026-02-20 02:42:00",5.69895,9.86741,2.89527,2.44564,5.1286,2.51347,3.33096,30.39855
"2026-02-20 03:42:00",6.48587,10.0512,3.21224,2.3426,4.97823,2.54688,3.52006,31.11486
"2026-02-20 04:42:00",5.97427,9.57288,2.896,2.22766,4.69172,2.40086,3.34503,29.86222
"2026-02-20 05:42:00",6.81258,9.48205,2.79943,2.57692,5.06308,2.56516,3.51289,30.32085
"2026-02-20 06:42:00",6.22892,9.44342,2.56617,2.26486,5.20365,2.31197,3.31038,30.26919
"2026-02-20 07:42:00",5.86817,10.01374,2.8384,2.49302,5.34142,2.50621,3.10868,30.93435
"2026-02-20 08:42:00",5.50968,10.06505,2.84771,2.36445,4.2423,2.34042,3.0698,30.30912
"2026-02-20 08:42:00",,,2.84771,,,,,
"2026-02-20 09:42:00",6.00593,10.28876,2.97302,2.46617,4.80291,2.55817,3.07762,30.54511
"2026-02-20 10:42:00",5.52653,10.38781,3.0207,2.08986,4.92139,2.2429,2.97154,30.51171
"2026-02-20 11:42:00",6.6522,9.73309,2.53986,2.38299,5.41812,2.42698,3.65307,31.15172
"2026-02-20 12:42:00",6.49815,9.66612,2.85961,2.40893,5.6477,2.49751,3.2707,30.73964
"2026-02-20 13:42:00",5.48796,9.93556,2.71115,2.46066,4.54962,2.54196,3.15248,30.33944
"2026-02-20 14:42:37",4.92839,10.13891,2.6223,2.116,4.71043,2.15364,2.93415,30.14743
"2026-02-20 14:42:37",,,,,,,,30.14743
"2026-02-20 15:42:00",5.69756,10.01372,2.73377,2.39262,4.81998,2.47299,3.202,30.7607
"2026-02-20 16:42:00",5.57367,9.99982,2.86637,2.26079,5.03257,2.41987,3.10615,30.49211
"2026-02-20 17:42:00",5.8715,9.58221,2.76659,2.41556,5.07369,2.40713,3.16343,30.04085
"2026-02-20 18:42:00",5.72267,9.95477,2.78024,2.58137,5.48009,2.43847,3.09316,30.16133
"2026-02-20 19:42:00",5.22998,10.23802,2.72456,2.63375,5.0425,2.4519,3.13932,30.5179
"2026-02-20 20:42:00",5.80437,10.13372,2.75583,2.48137,4.9648,2.34242,3.19193,31.38916
"2026-02-20 21:42:00",6.1791,9.54842,3.02796,2.50126,5.37875,2.54009,3.48931,30.30997
"2026-02-20 22:42:00",6.42288,9.47117,2.8005,2.02997,5.12344,2.16475,3.70693,29.48644
"2026-02-20 23:42:00",4.89767,9.94423,2.50746,1.87816,4.42328,1.87637,3.08788,30.01076
"2026-02-21 00:42:00",6.19734,9.82997,2.48421,2.43768,4.85702,2.24155,3.35459,29.73174
"2026-02-21 00:42:00",,,2.48421,,,,,
"2026-02-21 01:42:00",5.65555,9.67948,2.53457,2.26014,4.62883,2.23713,3.31708,29.57531
"2026-02-21 02:42:00",4.69929,9.76746,2.53528,2.02804,4.57298,2.12274,2.95337,28.85587
"2026-02-21 03:42:00",5.26964,9.72154,2.53396,2.18208,5.03555,2.343,3.07071,29.53676
"2026-02-21 04:42:00",5.43017,9.74603,2.74365,2.5694,5.38687,2.48638,3.10958,30.14834
"2026-02-21 05:42:00",5.44786,9.73746,2.54784,2.23397,5.1722,2.39857,3.16511,29.74451
"2026-02-21 06:42:00",5.48369,9.35353,2.38324,2.11837,5.14074,2.27855,3.03206,29.56915
"2026-02-21 07:42:00",5.63271,9.53852,2.59222,2.25637,5.35209,2.38946,3.11927,29.3986
"2026-02-21 08:42:00",5.20658,9.68324,2.78659,2.44168,5.77123,2.58143,3.26833,29.62098
"2026-02-21 09:42:00",5.45384,10.00263,2.74908,2.31759,5.35577,2.42624,2.95236,30.39672
"2026-02-21 10:42:00",5.22283,9.96414,2.69913,2.24151,5.6605,2.37948,2.96439,30.20485
"2026-02-21 11:42:00",6.36794,9.54627,2.84972,2.41786,5.72665,2.54812,3.37252,30.46947
"2026-02-21 11:42:00",,9.54627,,,,,,
"2026-02-21 12:42:00",5.52075,10.11098,2.7079,2.57974,6.59183,2.5607,2.9817,30.58144
"2026-02-21 12:42:00",,10.11098,,,,,,
"2026-02-21 13:42:00",5.36782,10.27446,2.85126,2.49256,6.50601,2.50663,2.96896,31.32378
"2026-02-21 14:42:00",5.30826,10.07352,3.0866,2.53123,5.5427,2.53491,3.08594,30.40326
"2026-02-21 15:42:00",5.57178,9.71411,2.92285,2.36529,5.40953,2.36453,3.19512,29.77563
"2026-02-21 16:42:00",5.44269,9.66359,3.00969,2.25366,5.21387,2.3601,3.16791,29.79079
"2026-02-21 17:42:00",5.67507,9.49074,2.96704,2.39426,5.42688,2.50203,3.37132,30.0034
"2026-02-21 18:42:00",5.34064,9.90955,2.84285,2.23732,4.887,2.2444,3.08487,30.72892
"2026-02-21 19:42:00",5.72843,9.72719,2.9042,2.3337,5.44378,2.402,3.22574,30.38346
"2026-02-21 19:42:00",,,2.9042,,,,,
"2026-02-21 20:42:00",6.35298,9.41453,2.98874,2.4756,5.22565,2.49732,3.63758,29.78186
"2026-02-21 20:42:00",6.35298,,,,,,,
"2026-02-21 21:42:00",5.53858,9.49166,2.92502,2.37709,5.24849,2.35751,3.32397,29.5899
"2026-02-21 22:42:00",5.82663,9.65971,2.94244,2.58136,5.06285,2.42147,3.31878,30.30463
"2026-02-21 22:42:00",,,2.94244,,,,,
"2026-02-21 23:42:00",5.50087,9.78275,2.76295,2.69966,4.91146,2.59261,3.34277,30.44266
"2026-02-22 00:42:00",6.02862,9.87927,2.88663,2.67393,5.38129,2.4878,3.38465,31.02429
"2026-02-22 01:42:00",5.7605,9.7386,2.73307,2.30571,4.85574,2.33803,3.41216,30.60243
"2026-02-22 02:42:00",5.44907,9.78172,2.87215,2.47562,4.79203,2.35917,3.2002,29.60868
"2026-02-22 03:42:00",5.524,9.60062,2.93997,2.22093,4.55025,2.21392,3.30561,29.25473
"2026-02-22 03:42:00",,9.60062,,,,,,
"2026-02-22 04:42:00",5.67978,9.7278,2.68971,2.37188,4.96296,2.3437,3.11458,30.18087
"2026-02-22 05:42:00",5.66408,9.52215,2.94982,2.24091,5.06363,2.25953,3.44868,29.35737
"2026-02-22 06:42:00",5.99034,9.66021,2.66225,2.47361,4.93193,2.32434,3.65258,29.54579
"2026-02-22 07:42:00",5.40354,9.85217,2.56736,2.025,4.58827,2.00682,3.38645,30.22223
"2026-02-22 08:42:00",5.60221,9.27834,2.7225,1.81781,4.52139,2.02135,3.50123,29.16968
"2026-02-22 08:42:00",,9.27834,2.7225,,,,,
"2026-02-22 09:42:00",6.75363,9.41702,2.83782,2.51778,5.55466,2.5217,3.61356,30.1026
"2026-02-22 10:42:00",5.44564,9.82117,2.8177,2.36111,5.12667,2.25206,3.51551,29.81301
"2026-02-22 11:42:10",6.32887,9.68155,2.79458,2.72183,5.31207,2.61019,3.44274,30.76501
"2026-02-22 12:43:31",5.74904,9.99347,2.91307,2.53079,4.70625,2.49743,3.235,30.55907
"2026-02-22 13:42:00",5.0114,10.14543,2.82621,2.30874,4.90279,2.25727,3.11404,30.52544
"2026-02-22 13:42:00",,10.14543,,,,,,
"2026-02-22 14:42:00",5.50816,10.06148,2.79121,2.57695,4.95009,2.3908,3.1958,30.64732
"2026-02-22 15:42:00",5.61763,9.84848,2.85904,2.60302,5.04429,2.4843,3.10117,30.61218
"2026-02-22 16:42:00",5.61171,9.84371,3.28006,2.64038,4.98646,2.32022,3.31925,29.86337
"2026-02-22 17:42:00",5.9899,9.4278,3.08529,2.73175,5.06305,2.41486,3.36598,29.31508
"2026-02-22 17:42:00",,,3.08529,,,,,
"2026-02-22 18:42:00",6.28574,9.31642,3.24043,2.92726,5.68279,2.62256,3.504,29.23761
"2026-02-22 19:42:00",4.72594,6.71866,3.20335,2.32237,4.48807,2.00594,3.0348,18.04168
"2026-02-22 19:42:00",4.72594,6.71866,,,,,,
"2026-02-22 20:42:00",3.25563,0.6828,0.97774,0.67049,1.91143,0.40569,1.33015,1.25135
"2026-02-22 21:42:00",3.49204,0.68332,1.48322,0.89985,0.82647,0.35485,1.46744,3.73974
"2026-02-22 22:42:00",2.59912,0.99925,1.34002,0.7349,0.94474,0.45143,1.19997,3.32492
"2026-02-22 23:42:00",4.61569,4.4819,1.52645,0.87211,2.14881,0.68417,1.11361,7.00433
"2026-02-23 00:42:00",4.95486,8.61574,2.89806,3.41361,5.76412,2.8497,3.20643,10.74982
"2026-02-23 01:42:00",4.87649,10.05243,3.31354,2.81137,4.63065,2.32757,3.32763,11.72362
"2026-02-23 02:42:00",4.81508,9.66201,2.99342,2.68195,5.1433,2.41766,3.13161,11.15462
"2026-02-23 03:42:00",4.97835,9.71862,3.17417,2.387,4.64363,2.38671,3.39711,11.27849
"2026-02-23 04:42:00",4.92186,9.80785,2.87442,2.38947,5.14114,2.43915,3.52183,11.34209
"2026-02-23 05:42:00",4.57951,9.645,2.74648,2.27771,4.62346,2.24771,3.34462,10.98993
"2026-02-23 06:42:00",4.67739,9.95585,2.62199,2.1793,4.38414,2.19788,2.9715,11.32932
"2026-02-23 07:42:00",4.51932,9.6636,2.60532,1.96981,4.76274,2.22213,2.91834,11.01958
"2026-02-23 08:42:00",4.36869,9.7082,2.52746,2.25512,4.94416,2.26958,3.07014,10.73625
"2026-02-23 09:42:00",4.90564,10.05384,2.7389,2.38447,5.10485,2.31922,3.14314,11.61191
"2026-02-23 09:42:00",,,2.7389,,,,,
