"DateTime","9RV","10RV","1RV","2RH","3RV","4RV","7RV","8RV"
"2025-11-05 01:54:00",0.11754,0.06983,0.02897,0.26788,0.13171,0.20549,0.15783,0.15783
"2025-11-05 01:54:00",,,,,,0.20549,,
"2025-11-05 02:54:00",0.12434,0.07289,0.03049,0.29604,0.13551,0.20975,0.15378,0.15378
"2025-11-05 02:54:00",,,0.03049,,,,0.15378,
"2025-11-05 03:54:00",0.12122,0.07235,0.02947,0.28942,0.13263,0.20644,0.16334,0.16334
"2025-11-05 04:54:00",0.12248,0.0691,0.02684,0.29265,0.12807,0.20081,0.14783,0.14783
"2025-11-05 05:54:00",0.11937,0.06823,0.02747,0.28639,0.12909,0.20067,0.1555,0.1555
"2025-11-05 06:54:00",0.11346,0.06709,0.02707,0.30359,0.1286,0.20358,0.15509,0.15509
"2025-11-05 07:54:00",0.11815,0.06869,0.02539,0.31087,0.12789,0.20264,0.15817,0.15817
"2025-11-05 08:54:00",0.11352,0.0677,0.02572,0.31045,0.12632,0.20382,0.16536,0.16536
"2025-11-05 09:54:00",0.1182,0.06773,0.02674,0.2915,0.12619,0.19726,0.16636,0.16636
"2025-11-05 09:54:00",,,,,,,0.16636,
"2025-11-05 10:35:06",0.11826,0.0704,0.02936,0.32009,0.12979,0.20145,0.16957,0.16957
"2025-11-05 10:35:06",,,,0.32009,,,,
"2025-11-05 11:54:00",0.12179,0.07195,0.02904,0.32785,0.13241,0.20158,0.16878,0.16878
"2025-11-05 12:54:00",0.11424,0.066,0.02738,0.30013,0.12872,0.19879,0.16361,0.16361
"2025-11-05 13:54:00",0.11475,0.065,0.02635,0.2897,0.12779,0.19819,0.15947,0.15947
"2025-11-05 13:54:00",,,,,,,,0.15947
"2025-11-05 14:54:00",0.11162,0.06541,0.02871,0.28626,0.1283,0.19651,0.16756,0.16756
"2025-11-05 15:54:00",0.11856,0.06823,0.02878,0.28057,0.1303,0.19527,0.17317,0.17317
"2025-11-05 16:54:00",0.11515,0.06756,0.02884,0.2909,0.13072,0.19996,0.16974,0.16974
"2025-11-05 17:54:00",0.11529,0.06494,0.02823,0.28087,0.1284,0.19917,0.16075,0.16075
"2025-11-05 18:54:00",0.11731,0.06667,0.03078,0.29703,0.12733,0.19925,0.16025,0.16025
"2025-11-05 19:54:00",0.1197,0.07136,0.03082,0.30569,0.13103,0.19992,0.16988,0.16988
"2025-11-05 20:54:00",0.1176,0.06973,0.03027,0.29791,0.12787,0.19413,0.1744,0.1744
"2025-11-05 21:54:00",0.11954,0.06721,0.02788,0.29227,0.13091,0.20015,0.16299,0.16299
"2025-11-05 22:54:00",0.12214,0.06742,0.02905,0.31006,0.12982,0.19877,0.15133,0.15133
"2025-11-05 23:54:00",0.11478,0.0677,0.02861,0.28845,0.1291,0.20182,0.15785,0.15785
"2025-11-05 23:54:00",,,,,,,0.15785,
"2025-11-06 00:54:00",0.11207,0.06591,0.02859,0.33327,0.12805,0.19869,0.16585,0.16585
"2025-11-06 01:54:00",0.12365,0.07257,0.03093,0.30481,0.13273,0.20315,0.17189,0.17189
"2025-11-06 02:54:00",0.11126,0.06722,0.02649,0.2946,0.12748,0.19875,0.16085,0.16085
"2025-11-06 02:54:00",0.11126,,,,,,,
"2025-11-06 03:54:00",0.11852,0.06818,0.0296,0.28923,0.12901,0.20021,0.16575,0.16575
