"DateTime","9RV","10RV","1RV","2RH","3RV","4RV","7RV","8RV"
"2025-11-05 01:54:00",1.78346,1.56179,1.12706,1.28325,1.2404,1.49885,0.86771,0.86771
"2025-11-05 01:54:00",,,,,,1.49885,,
"2025-11-05 02:54:00",1.7715,1.55695,1.11115,1.36957,1.23171,1.48098,0.84878,0.84878
"2025-11-05 02:54:00",,,1.11115,,,,0.84878,
"2025-11-05 03:54:00",1.77589,1.55893,1.10671,1.3566,1.21974,1.48175,0.83279,0.83279
"2025-11-05 04:54:00",1.71637,1.50273,1.08777,1.28907,1.19804,1.44324,0.82821,0.82821
"2025-11-05 05:54:00",1.69929,1.48044,1.06534,1.32867,1.16575,1.41596,0.82596,0.82596
"2025-11-05 06:54:00",1.7385,1.52059,1.08971,1.34195,1.1969,1.45144,0.83255,0.83255
"2025-11-05 07:54:00",1.7168,1.50669,1.07909,1.30382,1.18955,1.43234,0.84138,0.84138
"2025-11-05 08:54:00",1.7241,1.524,1.0991,1.29106,1.20822,1.4497,0.8571,0.8571
"2025-11-05 09:54:00",1.72308,1.51933,1.07568,1.29925,1.20015,1.44364,0.84812,0.84812
"2025-11-05 09:54:00",,,,,,,0.84812,
"2025-11-05 10:35:06",1.73281,1.53158,1.07228,1.26894,1.19911,1.45093,0.84687,0.84687
"2025-11-05 10:35:06",,,,1.26894,,,,
"2025-11-05 11:54:00",1.74785,1.54038,1.10212,1.28863,1.21418,1.46718,0.84896,0.84896
"2025-11-05 12:54:00",1.67555,1.47589,1.05642,1.24829,1.17393,1.40742,0.8278,0.8278
"2025-11-05 13:54:00",1.70375,1.50072,1.08526,1.32571,1.19952,1.43656,0.84228,0.84228
"2025-11-05 13:54:00",,,,,,,,0.84228
"2025-11-05 14:54:00",1.72702,1.52732,1.07608,1.24881,1.20275,1.45403,0.84236,0.84236
"2025-11-05 15:54:00",1.79058,1.58012,1.09829,1.27026,1.22199,1.48863,0.84368,0.84368
"2025-11-05 16:54:00",1.73042,1.53369,1.08551,1.2695,1.20674,1.45241,0.85122,0.85122
"2025-11-05 17:54:00",1.63841,1.4412,1.05519,1.28122,1.15521,1.38279,0.82817,0.82817
"2025-11-05 18:54:00",1.75053,1.54743,1.09137,1.26526,1.22042,1.47222,0.84101,0.84101
"2025-11-05 19:54:00",1.78902,1.58624,1.11847,1.32478,1.24403,1.50484,0.86456,0.86456
"2025-11-05 20:54:00",1.75274,1.54077,1.0969,1.27316,1.20757,1.4588,0.84923,0.84923
"2025-11-05 21:54:00",1.74678,1.53503,1.0893,1.3043,1.2078,1.45987,0.83831,0.83831
"2025-11-05 22:54:00",1.7355,1.52992,1.1052,1.34453,1.22032,1.4681,0.85768,0.85768
"2025-11-05 23:54:00",1.76276,1.5625,1.10766,1.31122,1.24135,1.48806,0.85226,0.85226
"2025-11-05 23:54:00",,,,,,,0.85226,
"2025-11-06 00:54:00",1.70429,1.5081,1.0882,1.28224,1.20033,1.43509,0.84843,0.84843
"2025-11-06 01:54:00",1.78134,1.56753,1.10447,1.32134,1.22289,1.47814,0.86347,0.86347
"2025-11-06 02:54:00",1.70341,1.50066,1.08351,1.26784,1.19541,1.4284,0.85832,0.85832
"2025-11-06 02:54:00",1.70341,,,,,,,
"2025-11-06 03:54:00",1.75134,1.54599,1.10559,1.3659,1.22114,1.46946,0.87369,0.87369
"2025-11-06 04:54:00",1.78389,1.58264,1.11845,1.34854,1.24291,1.49913,0.87008,0.87008
"2025-11-06 05:54:00",1.72856,1.51585,1.07846,1.3441,1.18515,1.43812,0.84496,0.84496
"2025-11-06 05:54:00",1.72856,,,,,,,
"2025-11-06 06:54:00",1.74508,1.54675,1.11012,1.34341,1.23238,1.47402,0.86968,0.86968
"2025-11-06 07:54:00",1.74056,1.52533,1.08421,1.36367,1.18907,1.44318,0.84992,0.84992
"2025-11-06 07:54:00",,,,,1.18907,,,
"2025-11-06 08:54:00",1.66979,1.47181,1.05332,1.39276,1.16805,1.41007,0.83381,0.83381
"2025-11-06 09:54:00",1.68015,1.48215,1.04808,1.38143,1.16155,1.40563,0.82701,0.82701
"2025-11-06 10:54:00",1.72879,1.52943,1.08003,1.34511,1.20889,1.45338,0.86281,0.86281
"2025-11-06 11:54:00",1.75297,1.5554,1.08949,1.33129,1.21756,1.47012,0.84634,0.84634
