"DateTime","10RV","8RV","9RV","1RV","2RH","3RV","4RV","7RV"
"2025-11-05 01:56:00",0.04566,0.08759,0.07604,0.83776,0.95451,0.35734,0.2347,0.07911
"2025-11-05 01:56:00",,,,,0.95451,,,
"2025-11-05 02:56:00",0.04163,0.08667,0.0648,0.7868,1.02449,0.28104,0.23493,0.05699
"2025-11-05 03:56:00",0.02801,0.09227,0.062,0.83614,1.08806,0.30249,0.26099,0.07056
"2025-11-05 04:56:00",0.03644,0.0884,0.06087,0.89473,1.12024,0.30095,0.22271,0.06591
"2025-11-05 05:56:00",0.04185,0.08872,0.07402,0.82659,1.10768,0.34712,0.22973,0.07873
"2025-11-05 06:56:00",0.03721,0.08281,0.05548,0.83416,1.18658,0.28563,0.22189,0.05884
"2025-11-05 07:56:00",0.03042,0.09182,0.05895,0.75425,1.21906,0.29407,0.25708,0.06476
"2025-11-05 08:56:00",0.03992,0.09017,0.06305,0.79195,1.13194,0.34288,0.22611,0.07693
"2025-11-05 09:56:00",0.03799,0.08288,0.05192,0.9867,1.06491,0.33953,0.22665,0.07224
"2025-11-05 10:56:00",0.03916,0.0847,0.04532,0.73817,0.91657,0.27527,0.23522,0.05771
"2025-11-05 11:56:00",0.03881,0.08967,0.06014,0.83681,0.77862,0.33651,0.2291,0.07334
"2025-11-05 11:56:00",,,0.06014,,,,,
"2025-11-05 12:56:00",0.04626,0.08635,0.0765,0.91893,0.57686,0.3682,0.24143,0.08042
"2025-11-05 13:56:00",0.03982,0.08524,0.05304,1.00246,0.63946,0.27053,0.23762,0.0572
"2025-11-05 13:56:00",,0.08524,,1.00246,,,,
"2025-11-05 14:56:00",0.04059,0.08866,0.07006,0.85342,0.57022,0.3544,0.23208,0.07697
"2025-11-05 15:56:00",0.03752,0.08113,0.04866,0.88694,0.69416,0.32182,0.22426,0.06696
"2025-11-05 15:56:00",,,0.04866,,,,,
"2025-11-05 16:56:00",0.02879,0.08886,0.06973,0.90091,0.64102,0.28956,0.26051,0.06625
"2025-11-05 16:56:00",0.02879,,,,,,,
"2025-11-05 17:56:00",0.04074,0.09029,0.06951,0.90823,0.57227,0.37251,0.24255,0.07877
"2025-11-05 18:56:00",0.0431,0.08255,0.04869,0.87509,0.66396,0.32902,0.22536,0.06773
"2025-11-05 18:56:00",,,0.04869,,,,,0.06773
"2025-11-05 19:56:00",0.03312,0.08525,0.06931,0.83001,0.53271,0.28902,0.2286,0.0629
"2025-11-05 19:56:00",0.03312,,,0.83001,,,,
"2025-11-05 20:56:00",0.04665,0.0861,0.07393,0.79995,0.54371,0.36175,0.23951,0.07806
"2025-11-05 21:56:00",0.0394,0.08607,0.05527,0.92109,0.66232,0.28087,0.23091,0.05791
"2025-11-05 21:56:00",,,,,,,0.23091,
"2025-11-05 22:56:00",0.03376,0.08994,0.06194,0.79523,0.5063,0.30105,0.22545,0.06594
"2025-11-05 22:56:00",,,,0.79523,,,,
"2025-11-05 23:56:00",0.03942,0.08238,0.04443,0.75452,0.68022,0.35954,0.23738,0.07464
"2025-11-06 00:56:00",0.03791,0.0892,0.05464,0.79065,0.66563,0.28187,0.24849,0.05879
"2025-11-06 00:56:00",0.03791,,,0.79065,,,,
"2025-11-06 01:56:00",0.04374,0.09008,0.06634,0.79823,0.6564,0.36423,0.2422,0.08
"2025-11-06 01:56:00",,,0.06634,,,,,
"2025-11-06 02:56:00",0.03756,0.08021,0.05807,0.78266,0.62011,0.30565,0.22548,0.06293
"2025-11-06 02:56:00",,,0.05807,,,,,
"2025-11-06 03:56:00",0.04249,0.08759,0.061,0.83808,0.63836,0.26918,0.2354,0.05655
"2025-11-06 04:56:00",0.04184,0.0896,0.06303,0.84015,0.83611,0.36463,0.24197,0.07972
"2025-11-06 04:56:00",,,,,,,,0.07972
"2025-11-06 05:56:00",0.04443,0.08251,0.07255,0.78624,0.78661,0.32013,0.22098,0.06619
"2025-11-06 06:56:00",0.04197,0.08768,0.06658,0.85175,0.57037,0.36329,0.23908,0.07878
"2025-11-06 07:56:00",0.04091,0.08433,0.05719,0.75347,0.68125,0.27781,0.22657,0.05774
"2025-11-06 07:56:00",,,0.05719,,,,,
"2025-11-06 08:56:00",0.03251,0.09591,0.06562,0.69453,0.64992,0.3091,0.26025,0.07954
"2025-11-06 08:56:00",,,0.06562,,,,,
"2025-11-06 09:56:00",0.04079,0.09044,0.07272,0.81793,0.8392,0.35319,0.23601,0.07904
"2025-11-06 10:56:00",0.04018,0.08463,0.0648,0.75369,0.85432,0.32277,0.22395,0.06757
"2025-11-06 10:56:00",,,,,,,0.22395,
"2025-11-06 11:56:00",0.03409,0.08862,0.05595,0.8507,0.80545,0.28832,0.22765,0.0628
"2025-11-06 11:56:00",,0.08862,,,,,,
"2025-11-06 12:56:00",0.0433,0.08685,0.07313,0.72845,0.71827,0.35298,0.23191,0.07855
"2025-11-06 12:56:00",,,,,0.71827,,0.23191,
"2025-11-06 13:56:00",0.03713,0.08125,0.05446,0.86538,0.76453,0.32693,0.22606,0.06691
"2025-11-06 14:56:00",0.03244,0.0883,0.0664,0.81266,0.82188,0.29107,0.22682,0.06415
"2025-11-06 14:56:00",,0.0883,,,,,,
"2025-11-06 15:56:00",0.03812,0.08209,0.04773,0.78682,0.73163,0.35974,0.23774,0.07462
"2025-11-06 15:56:00",0.03812,,,,,,,
"2025-11-06 16:56:00",0.0304,0.08897,0.07184,0.83681,0.71738,0.28125,0.24709,0.06189
"2025-11-06 16:56:00",0.0304,,,,,,,0.06189
"2025-11-06 17:56:00",0.04338,0.08873,0.07708,0.75121,0.57335,0.36703,0.23918,0.07813
"2025-11-06 17:56:00",,0.08873,,,,,0.23918,
"2025-11-06 18:56:00",0.041,0.08297,0.08203,0.74394,0.53145,0.2836,0.22367,0.05871
"2025-11-06 18:56:00",0.041,,,,,,,
"2025-11-06 19:56:00",0.02939,0.09063,0.07618,0.82484,0.61435,0.28137,0.25435,0.06455
"2025-11-06 20:56:00",0.04629,0.08217,0.08278,0.75319,0.56514,0.35068,0.23374,0.07391
"2025-11-06 20:56:00",,,,,0.56514,,,
"2025-11-06 21:56:00",0.03858,0.08851,0.05089,0.82688,0.81505,0.27623,0.24678,0.05885
"2025-11-06 21:56:00",,,,,,,0.24678,
"2025-11-06 22:56:00",0.03644,0.08854,0.07044,0.73369,0.78856,0.30788,0.22488,0.0666
"2025-11-06 23:56:00",0.04106,0.08331,0.0584,0.96736,0.66296,0.35596,0.23493,0.07572
"2025-11-06 23:56:00",0.04106,,,,,,,
"2025-11-07 00:56:00",0.03756,0.0892,0.0635,1.01672,0.58318,0.27326,0.24346,0.05917
"2025-11-07 01:56:00",0.03555,0.08646,0.06557,0.83837,0.52991,0.31975,0.22332,0.06837
"2025-11-07 02:56:00",0.04395,0.08513,0.0619,0.74873,0.59441,0.36265,0.24025,0.07817
"2025-11-07 02:56:00",,,,,,0.36265,0.24025,0.07817
"2025-11-07 03:56:00",0.04012,0.0889,0.05398,0.90634,0.59242,0.28056,0.24747,0.05834
"2025-11-07 04:56:00",0.03004,0.08989,0.06909,0.80043,0.66861,0.28457,0.24441,0.06265
"2025-11-07 04:56:00",,,,,,,0.24441,
"2025-11-07 05:56:00",0.04106,0.08984,0.06549,0.6766,0.68966,0.36345,0.23639,0.08008
"2025-11-07 06:56:00",0.03674,0.08231,0.05227,0.74732,0.70788,0.31935,0.21913,0.06688
"2025-11-07 06:56:00",,,0.05227,,0.70788,,,
"2025-11-07 07:56:00",0.02972,0.09019,0.06667,0.75456,0.71439,0.29109,0.2557,0.06702
"2025-11-07 07:56:00",,,,,,,,0.06702
"2025-11-07 08:56:00",0.0383,0.0883,0.06192,0.78224,0.74422,0.34347,0.22726,0.07369
"2025-11-07 09:56:00",0.0398,0.084,0.05746,0.68234,0.73771,0.34487,0.22571,0.07473
"2025-11-07 10:56:00",0.03832,0.08462,0.05341,0.70483,0.86863,0.27908,0.22711,0.05714
"2025-11-07 10:56:00",,,,,,,,0.05714
"2025-11-07 11:56:00",0.03037,0.09149,0.05891,0.73772,0.89943,0.32254,0.26593,0.07699
"2025-11-07 11:56:00",,,,,0.89943,,0.26593,
"2025-11-07 12:56:00",0.03776,0.08997,0.07091,0.81574,0.74924,0.3094,0.22767,0.07078
"2025-11-07 13:56:00",0.03648,0.07872,0.0562,0.84834,0.73375,0.34406,0.23899,0.07292
"2025-11-07 13:56:00",,,,0.84834,,,,
"2025-11-07 14:56:00",0.03643,0.09056,0.07623,0.90058,0.91667,0.31695,0.2249,0.07132
"2025-11-07 14:56:00",0.03643,,,,0.91667,,,0.07132
"2025-11-07 15:56:00",0.03569,0.08224,0.05413,0.8727,0.77868,0.36195,0.24047,0.0751
"2025-11-07 15:56:00",,,,,,,0.24047,
"2025-11-07 16:56:00",0.03164,0.0919,0.07309,0.99657,0.84598,0.27478,0.2381,0.06119
"2025-11-07 16:56:00",,0.0919,,,,,,
"2025-11-07 17:56:00",0.04254,0.08354,0.07004,0.75929,0.64346,0.36625,0.2376,0.07513
"2025-11-07 18:56:00",0.03905,0.08528,0.05317,0.88304,0.48098,0.27708,0.23075,0.05766
"2025-11-07 18:56:00",,,,,,,,0.05766
"2025-11-07 19:56:00",0.03842,0.09414,0.05914,0.75496,0.56291,0.31417,0.26805,0.07471
"2025-11-07 19:56:00",0.03842,,,0.75496,,,,
"2025-11-07 20:56:00",0.03709,0.08694,0.06768,0.80783,0.71437,0.30398,0.22373,0.06578
"2025-11-07 20:56:00",,,,,0.71437,,,
"2025-11-07 21:56:00",0.04522,0.08838,0.07887,0.6956,0.63386,0.36245,0.24001,0.08088
"2025-11-07 21:56:00",,,,0.6956,,,,
"2025-11-07 22:56:00",0.04309,0.08491,0.05007,0.65404,0.67639,0.27165,0.22942,0.0557
"2025-11-07 22:56:00",0.04309,,,,,0.27165,,0.0557
"2025-11-07 23:56:00",0.0323,0.08709,0.06186,0.83538,0.73095,0.27535,0.23757,0.05894
"2025-11-07 23:56:00",0.0323,,,,,,,
"2025-11-08 00:56:00",0.03778,0.08815,0.06879,0.83227,0.75909,0.32584,0.22536,0.07115
"2025-11-08 00:56:00",0.03778,,,,,0.32584,,
"2025-11-08 01:56:00",0.03544,0.0828,0.05086,0.82924,0.62547,0.34969,0.23785,0.07598
"2025-11-08 01:56:00",0.03544,,,,0.62547,,,
"2025-11-08 02:56:00",0.02986,0.09459,0.07765,0.84212,0.6309,0.29319,0.2562,0.06608
"2025-11-08 02:56:00",,,0.07765,,,,,
"2025-11-08 03:56:00",0.03711,0.08741,0.08172,0.83025,0.67902,0.31101,0.22555,0.06819
"2025-11-08 04:56:00",0.03994,0.08683,0.10883,0.86289,0.68253,0.34328,0.23059,0.07619
"2025-11-08 05:56:00",0.03594,0.08336,0.05772,0.79978,0.70326,0.34545,0.2299,0.07272
"2025-11-08 06:56:00",0.04139,0.08609,0.07425,0.69611,0.74001,0.27832,0.237,0.0572
"2025-11-08 07:56:00",0.02993,0.08916,0.10144,0.70784,0.6907,0.28815,0.25058,0.06263
"2025-11-08 08:56:00",0.04141,0.08801,0.09778,0.6882,0.72299,0.35639,0.23115,0.0797
"2025-11-08 08:56:00",0.04141,,,,,,,
"2025-11-08 09:56:00",0.03727,0.083,0.07491,0.69614,0.70674,0.34563,0.22512,0.07204
"2025-11-08 09:56:00",,0.083,,,,,,
"2025-11-08 10:56:00",0.0401,0.08545,0.06195,0.67828,0.6997,0.27225,0.23284,0.05549
"2025-11-08 11:56:00",0.03055,0.09344,0.10902,0.77055,0.71387,0.29709,0.26169,0.06699
"2025-11-08 11:56:00",,,,0.77055,,0.29709,,
"2025-11-08 12:56:00",0.04083,0.08914,0.10627,0.79372,0.69526,0.35799,0.24014,0.07993
"2025-11-08 12:56:00",,0.08914,0.10627,,,,,
"2025-11-08 13:56:00",0.03692,0.08307,0.07557,0.81377,0.77248,0.34872,0.23331,0.07386
"2025-11-08 14:56:00",0.03075,0.09276,0.10246,0.87351,0.74136,0.28108,0.25035,0.06289
"2025-11-08 14:56:00",,,,,,0.28108,,
"2025-11-08 15:56:00",0.03922,0.08811,0.09275,0.85096,0.60251,0.34556,0.22903,0.0739
"2025-11-08 15:56:00",,,,,0.60251,,,
"2025-11-08 16:56:00",0.04093,0.08296,0.09969,0.87437,0.50245,0.34874,0.22981,0.07431
"2025-11-08 16:56:00",,,0.09969,,,,,
"2025-11-08 17:56:00",0.03751,0.08057,0.06349,0.84678,0.58276,0.32572,0.22695,0.06829
"2025-11-08 18:56:00",0.03675,0.08837,0.09439,0.78435,0.47609,0.27562,0.24785,0.06006
"2025-11-08 18:56:00",0.03675,,0.09439,,,,,
"2025-11-08 19:56:00",0.03116,0.088,0.09292,0.74751,0.47869,0.27408,0.23866,0.06009
"2025-11-08 20:56:00",0.04256,0.08979,0.11654,0.80241,0.63647,0.35994,0.23705,0.08231
"2025-11-08 20:56:00",,,0.11654,,,,,
"2025-11-08 21:56:00",0.03944,0.08393,0.07597,0.77922,0.64447,0.34568,0.23082,0.07436
"2025-11-08 22:56:00",0.03805,0.08443,0.07251,0.77952,0.55969,0.29083,0.22652,0.06135
"2025-11-08 22:56:00",0.03805,,,,,,,
"2025-11-08 23:56:00",0.0409,0.08751,0.07454,0.68356,0.44665,0.2764,0.23774,0.05745
"2025-11-08 23:56:00",,,,0.68356,,,,
"2025-11-09 00:56:00",0.03878,0.08927,0.10706,0.70322,0.49868,0.34023,0.22855,0.07492
"2025-11-09 01:56:00",0.03623,0.08111,0.05652,0.68594,0.68306,0.35285,0.23991,0.0757
