"DateTime","10RV","8RV","9RV","1RV","2RH","3RV","4RV","7RV"
"2025-11-05 01:56:00",1.48183,0.89284,2.10127,1.57494,1.93906,1.32555,0.77899,0.70483
"2025-11-05 01:56:00",,,,,1.93906,,,
"2025-11-05 02:56:00",1.01252,0.82589,1.88119,1.62683,2.36193,1.38085,0.80325,0.71979
"2025-11-05 03:56:00",0.96826,0.8877,2.01771,1.61512,2.07012,1.4314,0.885,0.80872
"2025-11-05 04:56:00",1.36438,0.92968,2.07948,1.50101,2.04848,1.40189,0.85848,0.79698
"2025-11-05 05:56:00",1.46028,0.90869,2.0008,1.62639,2.02959,1.32063,0.78768,0.70352
"2025-11-05 06:56:00",1.04482,0.7947,1.74467,1.73544,2.29563,1.28905,0.76937,0.65795
"2025-11-05 07:56:00",0.99355,0.91123,1.97175,1.40355,2.08976,1.45903,0.89982,0.80944
"2025-11-05 08:56:00",1.4163,0.92619,2.05727,1.38549,1.96001,1.35483,0.83158,0.7429
"2025-11-05 09:56:00",1.40419,0.87035,1.90411,1.51898,2.15671,1.29125,0.76268,0.64864
"2025-11-05 10:56:00",0.94923,0.8919,1.8842,1.4544,1.83446,1.44394,0.88711,0.78845
"2025-11-05 11:56:00",1.40094,0.96499,2.10878,1.29485,1.559,1.42289,0.88019,0.81963
"2025-11-05 11:56:00",,,2.10878,,,,,
"2025-11-05 12:56:00",1.48357,0.90472,1.92787,1.74355,1.58199,1.29318,0.78568,0.69006
"2025-11-05 13:56:00",0.97136,0.87085,1.9603,1.88869,1.79908,1.37564,0.86194,0.74977
"2025-11-05 13:56:00",,0.87085,,1.88869,,,,
"2025-11-05 14:56:00",1.46434,0.96179,2.13268,1.52363,1.44221,1.37936,0.86392,0.79945
"2025-11-05 15:56:00",1.1741,0.84,1.84406,1.95142,1.9864,1.28442,0.79276,0.67579
"2025-11-05 15:56:00",,,1.84406,,,,,
"2025-11-05 16:56:00",1.04343,0.91046,2.09641,1.76244,1.60354,1.41228,0.8907,0.80794
"2025-11-05 16:56:00",1.04343,,,,,,,
"2025-11-05 17:56:00",1.47572,0.93657,2.16726,1.69428,1.34593,1.33714,0.8303,0.77114
"2025-11-05 18:56:00",1.08278,0.85621,1.92237,1.81184,1.62578,1.37703,0.82935,0.74998
"2025-11-05 18:56:00",,,1.92237,,,,,0.74998
"2025-11-05 19:56:00",1.29403,0.93586,2.1741,1.37537,1.39185,1.38894,0.86538,0.80084
"2025-11-05 19:56:00",1.29403,,,1.37537,,,,
"2025-11-05 20:56:00",1.57189,0.8811,2.27045,1.61655,1.82789,1.24349,0.76449,0.66223
"2025-11-05 21:56:00",1.06643,0.7881,2.03115,1.9396,2.00684,1.32605,0.77448,0.68295
"2025-11-05 21:56:00",,,,,,,0.77448,
"2025-11-05 22:56:00",1.35384,0.9324,2.20723,1.50515,1.38542,1.41628,0.87696,0.81657
"2025-11-05 22:56:00",,,,1.50515,,,,
"2025-11-05 23:56:00",1.52831,0.87005,2.0758,1.55957,1.85601,1.28411,0.76287,0.66736
"2025-11-06 00:56:00",0.99279,0.8993,2.03164,1.63465,1.70122,1.43712,0.88707,0.7948
"2025-11-06 00:56:00",0.99279,,,1.63465,,,,
"2025-11-06 01:56:00",1.55888,0.93964,2.00787,1.36411,1.47806,1.34207,0.82744,0.7567
"2025-11-06 01:56:00",,,2.00787,,,,,
"2025-11-06 02:56:00",1.43236,0.84136,2.37127,1.84085,2.17526,1.25126,0.74911,0.63824
"2025-11-06 02:56:00",,,2.37127,,,,,
"2025-11-06 03:56:00",1.00691,0.86796,2.01825,1.65011,1.69605,1.38615,0.85909,0.76863
"2025-11-06 04:56:00",1.50486,0.96155,2.17309,1.41086,1.70451,1.38507,0.85859,0.81134
"2025-11-06 04:56:00",,,,,,,,0.81134
"2025-11-06 05:56:00",1.09167,0.87447,1.99068,1.62603,1.73292,1.36984,0.84394,0.7463
"2025-11-06 06:56:00",1.50032,0.9558,2.11401,1.47101,1.34869,1.37292,0.84702,0.80967
"2025-11-06 07:56:00",1.01771,0.82009,2.05922,1.79578,2.02188,1.31157,0.80436,0.68023
"2025-11-06 07:56:00",,,2.05922,,,,,
"2025-11-06 08:56:00",0.83696,0.81318,2.33416,1.78536,2.13764,1.37034,0.83201,0.74788
"2025-11-06 08:56:00",,,2.33416,,,,,
"2025-11-06 09:56:00",1.47065,0.95431,2.07945,1.4346,1.5063,1.38985,0.86692,0.80252
"2025-11-06 10:56:00",1.11064,0.85658,2.05431,1.62555,1.87993,1.33482,0.81514,0.70797
"2025-11-06 10:56:00",,,,,,,0.81514,
"2025-11-06 11:56:00",1.26852,0.93998,2.05526,1.46738,1.51935,1.42825,0.8948,0.82263
"2025-11-06 11:56:00",,0.93998,,,,,,
"2025-11-06 12:56:00",1.47309,0.91739,2.0346,1.88612,2.0111,1.26421,0.79954,0.68009
"2025-11-06 12:56:00",,,,,2.0111,,0.79954,
"2025-11-06 13:56:00",1.36258,0.86212,2.15442,1.9067,2.24067,1.27865,0.7594,0.6581
"2025-11-06 14:56:00",1.08362,1.00206,2.18565,1.60734,1.45196,1.50552,0.93925,0.88926
"2025-11-06 14:56:00",,1.00206,,,,,,
"2025-11-06 15:56:00",1.33202,0.8625,2.02305,1.50904,1.7056,1.29664,0.77587,0.68318
"2025-11-06 15:56:00",1.33202,,,,,,,
"2025-11-06 16:56:00",1.09195,0.9146,2.09485,1.7883,1.63345,1.40848,0.88158,0.80337
"2025-11-06 16:56:00",1.09195,,,,,,,0.80337
"2025-11-06 17:56:00",1.53377,0.91872,2.25843,1.37018,1.46407,1.31633,0.80949,0.71554
"2025-11-06 17:56:00",,0.91872,,,,,0.80949,
"2025-11-06 18:56:00",1.05873,0.80693,2.11712,1.65044,1.93048,1.29642,0.78956,0.6618
"2025-11-06 18:56:00",1.05873,,,,,,,
"2025-11-06 19:56:00",1.01272,0.90419,2.13705,1.5314,1.57948,1.42273,0.88348,0.81292
"2025-11-06 20:56:00",1.52301,0.88728,2.08101,1.22776,1.34274,1.30179,0.76412,0.68678
"2025-11-06 20:56:00",,,,,1.34274,,,
"2025-11-06 21:56:00",0.94927,0.86593,2.0392,1.55281,1.87858,1.38802,0.8638,0.76211
"2025-11-06 21:56:00",,,,,,,0.8638,
"2025-11-06 22:56:00",1.40515,0.94218,2.18626,1.2949,1.52085,1.41584,0.87113,0.79513
"2025-11-06 23:56:00",1.47859,0.87983,2.00414,1.54064,1.59325,1.30894,0.77193,0.67016
"2025-11-06 23:56:00",1.47859,,,,,,,
"2025-11-07 00:56:00",0.9729,0.90389,2.19875,1.65013,1.63854,1.44459,0.88905,0.79615
"2025-11-07 01:56:00",1.35844,0.94102,2.22713,1.39223,1.35409,1.42646,0.87199,0.82574
"2025-11-07 02:56:00",1.45617,0.88626,1.98828,1.37159,1.54492,1.28701,0.77356,0.66938
"2025-11-07 02:56:00",,,,,,1.28701,0.77356,0.66938
"2025-11-07 03:56:00",0.95414,0.8086,2.17095,1.82807,1.97951,1.35214,0.81008,0.68815
"2025-11-07 04:56:00",1.19649,0.91459,2.17261,1.40107,1.45747,1.44003,0.87875,0.81489
"2025-11-07 04:56:00",,,,,,,0.87875,
"2025-11-07 05:56:00",1.44391,0.96216,2.07942,1.22131,1.39631,1.38773,0.84474,0.7673
"2025-11-07 06:56:00",1.12819,0.85947,1.81475,1.52619,1.84033,1.34463,0.7979,0.68849
"2025-11-07 06:56:00",,,1.81475,,1.84033,,,
"2025-11-07 07:56:00",1.02262,0.91774,2.00297,1.41821,1.70002,1.45896,0.89858,0.83907
"2025-11-07 07:56:00",,,,,,,,0.83907
"2025-11-07 08:56:00",1.40726,0.98154,1.98501,1.31354,1.56143,1.42278,0.88155,0.80264
"2025-11-07 09:56:00",1.38757,0.93417,1.74525,1.58573,2.09856,1.32085,0.80191,0.68005
"2025-11-07 10:56:00",1.00567,0.83395,1.68992,1.60096,2.10253,1.35477,0.8048,0.69129
"2025-11-07 10:56:00",,,,,,,,0.69129
"2025-11-07 11:56:00",0.83559,0.84923,1.90399,1.53966,1.98853,1.43169,0.87326,0.78683
"2025-11-07 11:56:00",,,,,1.98853,,0.87326,
"2025-11-07 12:56:00",1.29927,0.95281,2.2031,1.2824,1.40454,1.42222,0.89245,0.82276
"2025-11-07 13:56:00",1.35569,0.88599,1.99046,1.33695,1.52382,1.30389,0.78053,0.6839
"2025-11-07 13:56:00",,,,1.33695,,,,
"2025-11-07 14:56:00",1.25756,0.97989,2.28101,1.31026,1.63333,1.472,0.91083,0.86777
"2025-11-07 14:56:00",1.25756,,,,1.63333,,,0.86777
"2025-11-07 15:56:00",1.36033,0.89464,1.98539,1.62292,1.69164,1.27802,0.78692,0.66819
"2025-11-07 15:56:00",,,,,,,0.78692,
"2025-11-07 16:56:00",1.10011,0.95124,2.18719,1.65871,1.5896,1.44958,0.90652,0.84604
"2025-11-07 16:56:00",,0.95124,,,,,,
"2025-11-07 17:56:00",1.44018,0.89574,1.94015,1.48405,1.56657,1.26368,0.76904,0.65712
"2025-11-07 18:56:00",1.0283,0.8228,1.79115,1.86783,1.94424,1.29114,0.78409,0.66253
"2025-11-07 18:56:00",,,,,,,,0.66253
"2025-11-07 19:56:00",0.87602,0.8056,2.05849,1.75093,2.10164,1.33508,0.80766,0.70089
"2025-11-07 19:56:00",0.87602,,,1.75093,,,,
