timestamp,pump_acceleration,motor_acceleration,coupling_acceleration,pump_temperature,motor_temperature,coupling_temperature,pump_vibration,motor_vibration,coupling_vibration
2025-04-08 00:42:00,5.866,0.442,0.579,53,20.0,31.0,20.096,3.454,2.518
2025-04-08 01:42:00,5.779,0.454,0.574,52,19.0,30.0,18.917,3.507,2.587
2025-04-08 02:42:00,5.69,0.438,0.582,52,19.0,30.0,18.27,3.377,2.65
2025-04-08 03:42:00,5.716,0.432,0.576,52,20.0,30.0,19.393,3.472,2.535
2025-04-08 04:42:00,5.91,0.452,0.579,52,19.0,30.0,18.926,3.77,2.828
2025-04-08 05:42:00,5.915,0.454,0.584,50,19.0,30.0,19.068,3.37,2.554
2025-04-08 06:42:00,5.8,0.455,0.593,52,20.0,31.0,19.282,3.47,2.612
2025-04-08 07:42:00,5.877,0.456,0.588,52,20.0,31.0,19.442,3.837,2.603
2025-04-08 08:42:00,5.819,0.458,0.576,51,20.0,30.0,18.68,3.458,2.438
2025-04-08 09:42:00,5.852,0.449,0.586,53,25.0,34.0,20.453,3.928,2.649
2025-04-08 10:42:00,5.878,0.418,0.551,56,31.0,41.0,20.81,3.269,2.523
2025-04-08 11:42:00,5.966,0.418,0.549,61,34.0,46.0,19.388,3.196,2.679
2025-04-08 12:42:00,5.868,0.442,0.527,61,36.0,49.0,19.38,3.605,2.559
2025-04-08 13:42:00,5.909,0.452,0.524,60,33.0,47.0,20.581,3.779,2.275
2025-04-08 14:42:00,5.875,0.453,0.534,58,31.0,45.0,19.737,3.883,2.38
2025-04-08 15:42:00,5.83,0.448,0.512,58,31.0,44.0,20.993,3.438,2.459
2025-04-08 16:42:00,5.755,0.43,0.527,56,30.0,43.0,19.126,3.524,2.372
2025-04-08 17:42:00,5.764,0.446,0.531,56,27.0,40.0,18.712,3.363,2.49
2025-04-08 18:42:00,5.785,0.458,0.511,55,25.0,38.0,18.185,3.615,2.326
2025-04-08 19:42:00,5.898,0.464,0.524,55,25.0,37.0,19.213,4.248,2.524
2025-04-08 20:42:00,5.792,0.465,0.525,53,22.0,35.0,18.554,3.082,2.504
2025-04-08 21:42:00,5.729,0.463,0.523,51,22.0,34.0,17.845,3.265,2.604
2025-04-08 22:42:00,5.653,0.451,0.52,51,21.0,33.0,18.24,3.336,2.718
2025-04-08 23:42:00,5.741,0.457,0.532,51,20.0,32.0,17.821,3.138,2.418
2025-04-09 00:42:00,5.743,0.463,0.535,51,20.0,32.0,18.031,3.485,2.628
2025-04-09 01:42:00,5.713,0.454,0.513,50,20.0,31.0,18.378,3.259,2.613
2025-04-09 02:42:00,5.667,0.442,0.513,50,20.0,32.0,18.119,3.382,2.675
2025-04-09 03:42:00,5.787,0.451,0.495,50,20.0,32.0,19.206,3.486,2.613
2025-04-09 04:42:00,5.869,0.458,0.506,52,21.0,32.0,18.639,3.474,2.578
2025-04-09 05:42:00,5.753,0.442,0.492,53,22.0,33.0,18.524,3.455,2.725
2025-04-09 06:42:00,5.818,0.446,0.508,53,23.0,33.0,19.083,3.496,2.417
2025-04-09 07:42:00,5.871,0.45,0.508,53,23.0,34.0,18.757,3.354,2.568
2025-04-09 08:42:00,6.205,0.465,0.575,54,23.0,34.0,20.241,3.002,2.323
2025-04-09 09:42:00,0.006,0.007,0.006,30,28.0,29.0,0.317,0.707,0.327
2025-04-09 10:42:00,0.013,0.008,0.014,28,26.0,28.0,0.379,0.954,0.498
2025-04-09 11:42:00,0.026,0.013,0.03,27,25.0,27.0,0.626,3.919,1.175
2025-04-09 12:42:00,0.057,0.027,0.035,32,29.0,31.0,0.222,0.388,0.208
2025-04-09 13:42:00,0.005,0.003,0.002,33,29.0,32.0,0.366,0.761,0.315
2025-04-09 14:42:00,0.005,0.002,0.002,31,25.0,27.0,0.28,0.203,0.101
2025-04-09 15:42:00,0.009,0.002,0.002,31,24.0,26.0,0.376,0.116,0.073
2025-04-09 16:42:00,0.006,0.003,0.01,31,25.0,26.0,0.723,0.17,0.096
2025-04-09 17:42:00,0.006,0.002,0.002,27,25.0,26.0,0.07,0.113,0.073
2025-04-09 18:42:00,0.2,0.118,0.131,25,22.0,26.0,2.814,2.144,1.443
2025-04-09 19:42:00,0.243,0.128,0.153,27,22.0,28.0,3.305,2.652,1.562
2025-04-09 20:42:00,0.305,0.141,0.159,29,25.0,32.0,3.65,2.55,1.64
2025-04-09 21:42:00,0.332,0.142,0.159,33,24.0,33.0,3.206,2.596,1.641
2025-04-09 22:42:00,0.485,0.142,0.161,35,23.0,33.0,3.058,2.41,1.547
2025-04-09 23:42:00,1.769,0.168,0.228,40,22.0,32.0,3.481,2.63,1.63
2025-04-10 00:42:00,2.821,0.147,0.227,30,21.0,31.0,3.217,2.35,1.366
2025-04-10 01:42:00,0.307,0.143,0.158,32,21.0,30.0,2.776,2.375,1.469
2025-04-10 02:42:00,0.279,0.143,0.161,33,20.0,30.0,2.402,1.919,1.172
2025-04-10 03:42:00,0.302,0.161,0.184,39,22.0,33.0,3.009,2.69,1.601
2025-04-10 04:42:00,0.3,0.148,0.173,39,23.0,32.0,2.868,2.634,1.606
2025-04-10 05:42:00,0.376,0.157,0.186,35,20.0,31.0,2.929,2.535,1.579
