DateTime,Part-Name,acceleration,temperature,vibration,Part-T,Part-V,Part-O
2026-02-19 09:35:53,1RV,0.36062,0.36062,0.36062,0.36062,0.36062,0.36062
2026-02-19 09:35:53,2RH,0.17986,0.17986,0.17986,0.17986,0.17986,0.17986
2026-02-19 09:35:53,3RV,0.0319,0.0319,0.0319,0.0319,0.0319,0.0319
2026-02-19 09:35:53,6RV,0.38781,0.38781,0.38781,0.38781,0.38781,0.38781
2026-02-19 09:35:53,7RH,0.28254,0.28254,0.28254,0.28254,0.28254,0.28254
2026-02-19 09:35:53,8RH,1.44345,1.44345,1.44345,1.44345,1.44345,1.44345
2026-02-19 10:20:00,1RV,0.36702,0.36702,0.36702,0.36702,0.36702,0.36702
2026-02-19 10:20:00,2RH,0.17418,0.17418,0.17418,0.17418,0.17418,0.17418
2026-02-19 10:20:00,3RV,0.02885,0.02885,0.02885,0.02885,0.02885,0.02885
2026-02-19 10:20:00,6RV,0.39284,0.39284,0.39284,0.39284,0.39284,0.39284
2026-02-19 10:20:00,7RH,0.24334,0.24334,0.24334,0.24334,0.24334,0.24334
2026-02-19 10:20:00,8RH,1.55347,1.55347,1.55347,1.55347,1.55347,1.55347
2026-02-19 11:20:00,1RV,0.36214,0.36214,0.36214,0.36214,0.36214,0.36214
2026-02-19 11:20:00,2RH,0.18216,0.18216,0.18216,0.18216,0.18216,0.18216
2026-02-19 11:20:00,3RV,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217
2026-02-19 11:20:00,6RV,0.39085,0.39085,0.39085,0.39085,0.39085,0.39085
2026-02-19 11:20:00,7RH,0.22927,0.22927,0.22927,0.22927,0.22927,0.22927
2026-02-19 11:20:00,8RH,1.40388,1.40388,1.40388,1.40388,1.40388,1.40388
2026-02-19 12:20:00,1RV,0.35862,0.35862,0.35862,0.35862,0.35862,0.35862
2026-02-19 12:20:00,2RH,0.18175,0.18175,0.18175,0.18175,0.18175,0.18175
2026-02-19 12:20:00,3RV,0.03159,0.03159,0.03159,0.03159,0.03159,0.03159
2026-02-19 12:20:00,6RV,0.39754,0.39754,0.39754,0.39754,0.39754,0.39754
2026-02-19 12:20:00,7RH,0.23068,0.23068,0.23068,0.23068,0.23068,0.23068
2026-02-19 12:20:00,8RH,1.37728,1.37728,1.37728,1.37728,1.37728,1.37728
2026-02-19 13:20:00,1RV,0.35553,0.35553,0.35553,0.35553,0.35553,0.35553
2026-02-19 13:20:00,2RH,0.17686,0.17686,0.17686,0.17686,0.17686,0.17686
2026-02-19 13:20:00,3RV,0.03719,0.03719,0.03719,0.03719,0.03719,0.03719
2026-02-19 13:20:00,6RV,0.39113,0.39113,0.39113,0.39113,0.39113,0.39113
2026-02-19 13:20:00,7RH,0.24577,0.24577,0.24577,0.24577,0.24577,0.24577
2026-02-19 13:20:00,8RH,1.45294,1.45294,1.45294,1.45294,1.45294,1.45294
2026-02-19 23:29:06,1RV,0.36191,0.36191,0.36191,0.36191,0.36191,0.36191
2026-02-19 23:29:06,2RH,0.17398,0.17398,0.17398,0.17398,0.17398,0.17398
2026-02-19 23:29:06,3RV,0.11424,0.11424,0.11424,0.11424,0.11424,0.11424
2026-02-19 23:29:06,6RV,0.39843,0.39843,0.39843,0.39843,0.39843,0.39843
2026-02-19 23:29:06,7RH,0.27834,0.27834,0.27834,0.27834,0.27834,0.27834
2026-02-19 23:29:06,8RH,1.50214,1.50214,1.50214,1.50214,1.50214,1.50214
2026-02-20 00:20:00,1RV,0.35865,0.35865,0.35865,0.35865,0.35865,0.35865
2026-02-20 00:20:00,2RH,0.18273,0.18273,0.18273,0.18273,0.18273,0.18273
2026-02-20 00:20:00,3RV,0.03372,0.03372,0.03372,0.03372,0.03372,0.03372
2026-02-20 00:20:00,6RV,0.39701,0.39701,0.39701,0.39701,0.39701,0.39701
2026-02-20 00:20:00,7RH,0.24755,0.24755,0.24755,0.24755,0.24755,0.24755
2026-02-20 00:20:00,8RH,1.63247,1.63247,1.63247,1.63247,1.63247,1.63247
2026-02-20 01:20:00,1RV,0.35956,0.35956,0.35956,0.35956,0.35956,0.35956
2026-02-20 01:20:00,2RH,0.1649,0.1649,0.1649,0.1649,0.1649,0.1649
2026-02-20 01:20:00,3RV,0.03616,0.03616,0.03616,0.03616,0.03616,0.03616
2026-02-20 01:20:00,6RV,0.39268,0.39268,0.39268,0.39268,0.39268,0.39268
2026-02-20 01:20:00,7RH,0.24066,0.24066,0.24066,0.24066,0.24066,0.24066
2026-02-20 01:20:00,8RH,1.61833,1.61833,1.61833,1.61833,1.61833,1.61833
2026-02-20 02:20:00,1RV,0.35697,0.35697,0.35697,0.35697,0.35697,0.35697
2026-02-20 02:20:00,2RH,0.16723,0.16723,0.16723,0.16723,0.16723,0.16723
2026-02-20 02:20:00,3RV,0.03499,0.03499,0.03499,0.03499,0.03499,0.03499
2026-02-20 02:20:00,6RV,0.39222,0.39222,0.39222,0.39222,0.39222,0.39222
2026-02-20 02:20:00,7RH,0.24328,0.24328,0.24328,0.24328,0.24328,0.24328
2026-02-20 02:20:00,8RH,1.53516,1.53516,1.53516,1.53516,1.53516,1.53516
2026-02-20 03:20:00,1RV,0.35802,0.35802,0.35802,0.35802,0.35802,0.35802
2026-02-20 03:20:00,2RH,0.16729,0.16729,0.16729,0.16729,0.16729,0.16729
2026-02-20 03:20:00,3RV,0.03148,0.03148,0.03148,0.03148,0.03148,0.03148
2026-02-20 03:20:00,6RV,0.38746,0.38746,0.38746,0.38746,0.38746,0.38746
2026-02-20 03:20:00,7RH,0.24278,0.24278,0.24278,0.24278,0.24278,0.24278
2026-02-20 03:20:00,8RH,1.42036,1.42036,1.42036,1.42036,1.42036,1.42036
2026-02-20 04:20:00,1RV,0.36473,0.36473,0.36473,0.36473,0.36473,0.36473
2026-02-20 04:20:00,2RH,0.16703,0.16703,0.16703,0.16703,0.16703,0.16703
2026-02-20 04:20:00,3RV,0.03269,0.03269,0.03269,0.03269,0.03269,0.03269
2026-02-20 04:20:00,6RV,0.39522,0.39522,0.39522,0.39522,0.39522,0.39522
2026-02-20 04:20:00,7RH,0.24937,0.24937,0.24937,0.24937,0.24937,0.24937
2026-02-20 04:20:00,8RH,1.43721,1.43721,1.43721,1.43721,1.43721,1.43721
2026-02-20 05:20:00,1RV,0.3587,0.3587,0.3587,0.3587,0.3587,0.3587
2026-02-20 05:20:00,2RH,0.17466,0.17466,0.17466,0.17466,0.17466,0.17466
2026-02-20 05:20:00,3RV,0.03491,0.03491,0.03491,0.03491,0.03491,0.03491
2026-02-20 05:20:00,6RV,0.39167,0.39167,0.39167,0.39167,0.39167,0.39167
2026-02-20 05:20:00,7RH,0.24931,0.24931,0.24931,0.24931,0.24931,0.24931
2026-02-20 05:20:00,8RH,1.46328,1.46328,1.46328,1.46328,1.46328,1.46328
2026-02-20 06:20:00,1RV,0.35904,0.35904,0.35904,0.35904,0.35904,0.35904
2026-02-20 06:20:00,2RH,0.16337,0.16337,0.16337,0.16337,0.16337,0.16337
2026-02-20 06:20:00,3RV,0.02495,0.02495,0.02495,0.02495,0.02495,0.02495
2026-02-20 06:20:00,6RV,0.38838,0.38838,0.38838,0.38838,0.38838,0.38838
