DateTime,10RH-V,11RH-V,1RV-V,2RH-V,3RV-V,5RV-V,7RV-V,9RV-V
2026-05-10 08:02:00,4.53897,178.96666,12.31538,8.65043,2.4459,2.60164,3.71691,2.96445
2026-05-10 09:02:00,5.25285,130.286087,14.08485,9.3061,2.93272,2.82533,4.11181,3.24267
2026-05-10 10:02:00,5.33595,193.017883,13.61759,9.56623,2.79156,2.99058,4.20807,3.08494
2026-05-10 11:02:00,5.69423,209.642792,13.69496,9.34798,2.86696,2.93623,4.4904,3.38978
2026-05-10 12:02:00,4.92872,42.13099,14.2823,9.55639,2.9693,2.71296,4.08599,3.11759
2026-05-10 13:02:00,5.26081,76.78488,13.38991,9.52066,2.52986,2.79272,4.17387,3.21007
2026-05-10 14:02:00,4.39103,43.10477,12.17185,8.75589,2.31598,2.48823,3.61832,2.90798
2026-05-10 15:02:00,4.42036,92.28574,12.35664,8.74612,2.4965,2.6798,3.81255,2.92615
2026-05-10 16:02:00,4.80068,121.60302,12.96002,9.23655,2.52789,2.58464,3.65488,3.01042
2026-05-10 17:02:00,5.71823,203.7232,13.53716,9.69436,2.6312,2.80448,4.09567,3.46559
2026-05-10 18:02:00,5.71285,82.97376,13.86495,9.58494,2.9144,2.7786,4.30114,3.3103
2026-05-10 19:02:00,4.97781,88.3454,13.15937,9.0753,2.69412,2.59179,3.85056,3.15613
2026-05-10 20:02:00,5.14943,67.27149,12.98192,8.76611,2.61003,2.63171,4.04032,3.13223
2026-05-10 21:02:00,4.7315,88.57742,12.38579,8.71245,2.58321,2.69811,3.88468,2.94912
2026-05-10 22:02:00,4.32103,160.1781,11.68526,8.22132,2.47482,2.73024,3.73936,2.92151
2026-05-10 23:02:00,4.81257,85.32428,13.64593,9.1018,2.61352,2.69121,3.90235,2.98815
2026-05-11 00:02:00,5.37314,191.71344,13.85757,9.15767,2.88932,2.65379,4.00385,3.37743
2026-05-11 01:02:00,5.18648,101.080452,14.2169,9.45299,2.99135,2.60754,4.1035,3.34223
2026-05-11 02:02:00,5.653,165.7636,14.37675,10.14167,2.76939,2.81666,4.30655,3.43371
2026-05-11 03:02:00,5.13719,80.87448,13.73518,9.56359,2.52758,2.63983,3.967,3.14025
