DateTime,10RH-V,10RV-V,11RV-V,1RV-V,2RH-V,5RV-V,9RV-V
2026-05-10 08:04:00,2.30279,2.43037,2.92153,11.35907,3.41606,4.09594,5.33242
2026-05-10 09:04:00,2.47255,2.77304,3.03532,12.0144,3.98125,4.09828,5.37674
2026-05-10 10:04:00,2.28422,2.96217,3.08473,12.08707,4.15076,4.05586,6.18252
2026-05-10 11:04:00,2.33681,2.86665,2.89811,11.70295,3.6962,4.23272,5.99689
2026-05-10 12:04:00,2.39386,3.11461,3.10534,11.91176,4.26226,4.42318,6.75746
2026-05-10 13:04:00,2.41345,2.60145,2.94533,11.39721,3.89557,4.17381,5.9548
2026-05-10 14:04:00,2.33656,2.73174,2.86304,10.70128,3.84636,3.7918,6.22573
2026-05-10 15:04:00,2.37829,2.43995,2.85664,12.00717,3.51798,4.07858,5.45811
2026-05-10 16:04:00,2.35682,2.646,3.03909,12.4765,4.16749,4.15076,6.23011
2026-05-10 17:04:00,2.31577,2.58539,2.92756,12.11105,3.88172,4.06911,5.79943
2026-05-10 18:04:00,2.41326,2.57713,2.89497,12.21308,3.86549,4.19384,5.91721
2026-05-10 19:04:00,2.38871,2.37472,2.92778,11.68886,3.70441,4.06855,5.29023
2026-05-10 20:04:00,2.07369,2.27905,2.44404,10.98347,3.57431,3.73105,4.76988
2026-05-10 21:04:00,2.243,2.45084,2.85296,11.31328,3.83454,3.95641,5.89958
2026-05-10 22:04:00,2.3761,2.80086,3.01835,12.19604,4.30429,4.07942,6.47966
2026-05-10 23:04:00,2.20515,2.41488,3.06133,11.82501,3.71269,4.06061,5.5932
2026-05-11 00:04:00,2.32392,2.89327,3.09633,11.67607,3.9693,4.38261,6.17767
2026-05-11 01:04:00,2.43095,2.73996,3.17443,11.61386,3.88361,4.13005,6.22292
2026-05-11 02:04:00,2.26085,2.40997,3.04916,11.58645,3.86422,3.86535,5.76177
2026-05-11 03:04:00,2.39509,2.36887,3.09883,11.84966,3.97009,4.03204,5.69747
2026-05-11 04:04:00,2.29638,2.1712,2.78128,11.58391,3.43859,3.95964,5.30984
2026-05-11 05:04:00,2.37853,2.71282,3.08459,11.68341,4.00385,4.02991,5.58439
2026-05-11 06:04:00,2.18765,2.4513,2.85387,11.73957,3.60201,4.11868,5.27708
2026-05-11 07:04:00,2.38066,2.66424,3.16091,11.51731,4.08434,4.08689,6.02551
2026-05-11 08:04:00,2.30156,2.78749,2.99808,12.58002,3.90273,4.08457,6.06917
2026-05-11 09:04:00,2.37364,2.85873,3.04561,11.81384,3.41342,4.21386,5.85192
2026-05-11 10:04:00,2.30333,2.96632,3.40142,11.73848,3.97021,4.20611,5.92839
2026-05-11 11:04:00,2.22787,2.41438,2.72027,11.07753,3.30117,3.92756,5.46248
2026-05-11 12:04:00,2.2401,2.66031,2.71178,11.04621,3.81682,3.65109,5.71247
2026-05-11 13:04:00,2.38,2.77982,2.93444,12.43494,3.70609,4.26768,6.5099
2026-05-11 14:04:00,2.34527,2.75607,2.83696,11.92902,3.83081,4.1474,6.19729
2026-05-11 15:04:00,2.06649,2.50963,2.6864,11.65058,3.76589,3.74019,5.64918
2026-05-11 16:04:00,2.14273,2.37532,2.63566,11.74844,3.46418,4.00616,5.62278
2026-05-11 17:04:00,2.25292,2.22295,2.86715,12.19445,3.77177,4.00639,5.64655
2026-05-11 18:04:00,2.40076,2.44084,2.87044,11.87505,3.97697,4.06811,5.8008
2026-05-11 19:04:00,2.25765,2.52177,2.73268,11.35586,3.61307,4.07323,5.44299
2026-05-11 20:04:00,2.48541,2.33578,3.03816,11.95831,3.92264,3.89386,5.29746
2026-05-11 21:04:00,2.32771,2.32953,2.75541,11.80295,3.34962,3.90655,4.80968
2026-05-11 22:04:00,2.30848,2.16212,2.85945,12.04501,3.5887,4.04768,4.69611
2026-05-11 23:04:00,2.21267,2.39917,2.80135,11.94558,3.49118,3.88983,5.01031
2026-05-12 00:04:00,2.41361,2.53478,2.96259,11.58113,3.90448,3.88515,5.37867
2026-05-12 01:04:00,2.46062,2.45576,2.75558,11.61854,3.54859,4.05935,5.50357
2026-05-12 02:04:00,2.43289,2.75434,3.37171,11.38853,3.82505,3.93353,5.9435
2026-05-12 03:04:00,2.21615,2.37628,2.8912,11.26075,3.53172,3.95949,5.40506
2026-05-12 04:04:00,2.26089,2.2812,2.78506,11.33756,3.72814,3.71537,5.06189
2026-05-12 05:04:00,2.21092,2.29725,2.73604,11.66265,3.72778,3.99306,5.71038
2026-05-12 06:04:00,2.22389,2.08305,2.80612,11.90791,3.49428,3.99391,5.09543
2026-05-12 07:04:00,2.18349,2.07236,2.85741,11.84936,3.83559,3.83749,5.09628
2026-05-12 08:04:00,2.13416,2.29532,2.73887,11.62914,3.57252,3.95929,5.31316
2026-05-12 09:04:00,2.27633,2.32259,2.72461,11.31259,3.18471,4.06985,5.24912
2026-05-12 10:04:00,2.2431,2.39671,2.7666,11.3111,4.03343,3.89162,5.45553
2026-05-12 11:04:00,2.11135,2.4447,2.77919,11.9454,3.64631,3.91143,5.41799
2026-05-12 12:04:00,2.26175,2.13149,2.71917,11.76401,3.32523,3.99064,5.01041
2026-05-12 13:04:00,2.27024,2.35151,2.68748,11.30346,3.62212,3.75205,5.21528
2026-05-12 14:04:00,2.20085,2.10383,2.54495,11.26903,3.25246,3.81317,5.01815
2026-05-12 15:04:00,2.18371,2.35934,2.68692,11.13009,3.78903,3.7247,5.01252
2026-05-12 16:04:00,2.46512,3.14618,3.08557,12.11108,3.99067,4.09317,6.152
2026-05-12 17:04:00,2.24784,2.82554,2.71918,11.4802,3.50433,4.03972,5.33266
2026-05-12 18:04:00,2.47306,2.66433,2.96176,11.72186,3.74961,4.17695,5.77777
2026-05-12 19:04:00,2.3515,2.25966,2.87208,12.17124,3.65258,4.07402,5.3285
2026-05-12 20:04:00,2.23174,2.17473,2.61352,10.94002,3.59737,3.81984,5.14585
2026-05-12 21:04:00,2.16534,2.43562,2.65027,10.99156,3.36366,3.8063,5.38186
2026-05-12 22:04:00,2.1647,2.12563,2.71283,11.40619,3.32075,3.878,4.83825
2026-05-12 23:04:00,2.21716,2.41674,2.8613,10.9971,3.72397,3.9127,5.25616
2026-05-13 00:04:00,2.21018,2.48249,2.91747,11.17909,3.80842,3.99503,5.81976
2026-05-13 01:04:00,2.43685,2.49293,2.95579,11.62329,3.80234,4.16102,5.53944
2026-05-13 02:04:00,2.37437,2.68421,2.95311,11.56941,3.76261,4.24584,5.85376
2026-05-13 03:04:00,2.22611,2.3478,3.06231,11.1324,3.62173,4.08183,5.58553
2026-05-13 04:04:00,2.23386,2.67245,3.00793,11.94644,3.91042,4.39978,6.22927
2026-05-13 05:04:00,2.20754,2.3995,2.81029,11.87998,3.59094,4.40337,5.41799
2026-05-13 06:04:00,2.29881,2.51456,3.02065,11.08621,3.6921,4.27131,5.44693
2026-05-13 07:04:00,2.13085,2.10392,2.68239,10.29477,3.54796,4.03877,5.10715
2026-05-13 08:04:00,2.20209,2.66946,3.28573,11.97545,4.01531,3.8468,5.73406
2026-05-13 09:04:00,2.01947,2.35908,3.41029,12.21083,4.11796,3.88982,5.24678
2026-05-13 10:04:00,2.31386,2.75553,3.07903,11.77758,3.55423,4.3766,5.88839
2026-05-13 11:04:00,2.198,2.18534,3.13996,11.59479,3.83181,4.13093,5.14432
2026-05-13 12:04:00,2.2741,2.43075,1.99442,10.81987,3.21562,3.66182,4.68518
2026-05-13 13:04:00,2.53573,2.67434,2.09856,11.62204,3.89004,4.23504,5.99512
