DateTime,1RV-T,2RV-T,3RV-T
2026-04-20 17:36:00,0.32302,0.16239,0.37603
2026-04-20 18:36:00,0.32593,0.16469,0.53912
2026-04-20 19:36:00,0.32789,0.16557,0.4213
2026-04-20 20:36:00,0.37538,0.16583,0.54102
2026-04-20 21:36:00,0.34384,0.16641,0.47322
2026-04-20 22:36:00,0.34106,0.16608,0.42135
2026-04-20 23:36:00,0.34911,0.16682,0.427
2026-04-21 00:36:00,0.34926,0.16692,0.41547
2026-04-21 01:36:00,0.35552,0.16763,0.44166
2026-04-21 02:36:00,0.35346,0.16777,0.45297
2026-04-21 03:36:00,0.36226,0.1668,0.44809
2026-04-21 04:36:00,0.34857,0.168,0.4684
2026-04-21 05:36:00,0.36561,0.16958,0.46438
2026-04-21 06:36:00,0.36777,0.16942,0.44529
2026-04-21 07:36:00,0.36356,0.16962,0.48201
2026-04-21 08:36:00,0.36875,0.16975,0.43142
2026-04-21 09:36:00,0.36825,0.16985,0.46401
2026-04-21 10:36:00,0.35313,0.17055,0.46545
2026-04-21 11:36:00,0.36405,0.17061,0.37033
2026-04-21 12:36:00,0.36858,0.16951,0.45193
2026-04-21 13:36:00,0.37702,0.16807,0.44574
2026-04-21 14:36:00,0.36411,0.16731,0.49217
2026-04-21 15:36:00,0.37009,0.16737,0.37323
2026-04-21 16:36:00,0.36749,0.16749,0.4599
2026-04-21 17:36:00,0.36475,0.16819,0.38042
2026-04-21 18:36:00,0.39511,0.1698,0.42846
2026-04-21 19:36:00,0.3732,0.16967,0.40949
2026-04-21 20:36:00,0.37525,0.16988,0.46303
2026-04-21 21:36:00,0.39885,0.17023,0.41443
2026-04-21 22:36:00,0.38611,0.16969,0.37232
2026-04-21 23:36:00,0.35445,0.1709,0.44893
2026-04-22 00:36:00,0.35772,0.1711,0.4799
2026-04-22 01:36:00,0.3772,0.17099,0.433
2026-04-22 02:36:00,0.36689,0.1709,0.37851
2026-04-22 03:36:00,0.35527,0.17051,0.4182
