DateTime,1RV-V,2RV-V,3RV-V
2026-05-10 08:36:00,2.28139,2.83728,3.74293
2026-05-10 09:36:00,2.55833,2.47408,3.49966
2026-05-10 10:36:00,2.40794,2.39639,3.17213
2026-05-10 11:36:00,2.69696,2.79914,3.72083
2026-05-10 12:36:00,2.32592,2.93205,2.53756
2026-05-10 13:36:00,2.44349,2.99213,3.36546
2026-05-10 14:36:00,2.6641,2.57901,3.96453
2026-05-10 15:36:00,2.73946,2.3558,3.26382
2026-05-10 16:36:00,2.10866,2.59582,3.53362
2026-05-10 17:36:00,2.4548,3.17353,3.03896
2026-05-10 18:36:00,1.91265,2.6707,2.22054
2026-05-10 19:36:00,2.34709,2.57061,2.97235
2026-05-10 20:36:00,2.44188,2.58944,3.71965
2026-05-10 21:36:00,2.64729,2.46312,3.43458
2026-05-10 22:36:00,2.19026,2.65679,2.55008
2026-05-10 23:36:00,2.13458,2.2733,2.60589
2026-05-11 00:36:00,2.194,2.75017,3.44308
2026-05-11 01:36:00,2.51762,3.13849,3.39995
2026-05-11 02:36:00,2.19254,2.19802,3.71114
2026-05-11 03:36:00,2.19876,2.0118,2.5412
2026-05-11 04:36:00,2.46947,2.62147,3.6827
2026-05-11 05:36:00,2.46345,2.65091,3.57368
2026-05-11 06:36:00,2.36459,2.69717,3.14018
2026-05-11 07:36:00,2.31383,2.24006,2.75018
2026-05-11 08:36:00,2.22533,2.35812,2.44978
2026-05-11 09:36:00,2.38832,2.62948,3.28568
2026-05-11 10:36:00,2.48197,2.49481,3.94701
2026-05-11 11:36:00,2.45154,2.83614,3.48153
2026-05-11 12:36:00,2.57721,2.82405,2.66535
2026-05-11 13:36:00,2.09798,2.57629,2.60263
2026-05-11 14:36:00,2.25963,2.46048,3.43861
2026-05-11 15:36:00,2.47807,2.4823,2.72019
2026-05-11 16:36:00,2.45568,2.74844,3.51912
2026-05-11 17:36:00,2.51639,2.60631,3.14231
2026-05-11 18:36:00,2.32003,2.30385,2.79092
2026-05-11 19:36:00,2.28274,2.91805,2.54534
2026-05-11 20:36:00,2.51637,2.60012,2.70703
2026-05-11 21:36:00,2.64647,2.89208,3.02348
2026-05-11 22:36:00,2.35292,2.09806,3.79467
2026-05-11 23:36:00,2.45804,2.05267,3.32763
2026-05-12 00:36:00,2.38703,2.98108,3.39883
2026-05-12 01:36:00,2.35619,2.69554,3.77197
2026-05-12 02:36:00,2.2825,2.4838,3.25644
2026-05-12 03:36:00,2.40363,2.48816,3.86718
2026-05-12 04:36:00,2.62531,2.93093,3.11092
2026-05-12 05:36:00,2.46548,2.7111,2.97745
2026-05-12 06:36:00,2.31758,2.5024,3.01097
2026-05-12 07:36:00,2.25876,2.88657,3.41257
2026-05-12 08:36:00,2.33263,2.64014,3.55255
2026-05-12 09:36:00,2.56015,2.66656,3.33481
2026-05-12 10:36:00,2.14544,2.95705,2.66867
2026-05-12 11:36:00,2.38333,2.20606,3.41725
2026-05-12 12:36:00,2.17157,2.44071,2.6632
2026-05-12 13:36:00,2.72196,2.78895,3.44647
2026-05-12 14:36:00,2.58083,2.44647,3.35325
2026-05-12 15:36:00,2.62066,2.53256,3.54041
2026-05-12 16:36:00,2.30206,2.61352,3.32984
2026-05-12 17:36:00,2.37052,2.41554,3.75088
2026-05-12 18:36:00,2.50082,2.35051,3.54434
2026-05-12 19:36:00,2.53563,2.56933,2.97458
2026-05-12 20:36:00,2.29976,2.83066,3.57668
2026-05-12 21:36:00,2.29775,2.8012,3.60114
2026-05-12 22:36:00,2.4645,2.61906,3.37405
2026-05-12 23:36:00,2.26504,2.6591,3.76205
2026-05-13 00:36:00,2.28561,2.86706,2.96372
2026-05-13 01:36:00,2.1542,2.42368,3.20278
2026-05-13 02:36:00,2.38383,2.76313,3.36611
2026-05-13 03:36:00,2.64288,2.24848,3.42162
2026-05-13 04:36:00,2.53689,2.76792,3.41121
2026-05-13 05:36:00,2.55265,2.08346,3.42118
2026-05-13 06:36:00,2.5803,2.53745,3.30684
2026-05-13 07:36:00,2.41484,2.21172,3.60691
2026-05-13 08:36:00,2.26802,2.27698,3.46428
2026-05-13 09:36:00,2.3757,2.88971,2.78406
2026-05-13 10:36:00,2.89039,2.75401,3.46869
2026-05-13 11:36:00,2.25846,2.98272,3.69175
2026-05-13 12:36:00,2.35181,2.63837,3.69339
2026-05-13 13:36:00,2.69261,2.65397,3.02068
2026-05-13 14:36:00,2.87261,2.80545,3.31724
2026-05-13 15:36:00,2.49241,2.62892,3.2399
2026-05-13 16:36:00,2.62446,3.05945,3.31462
2026-05-13 17:36:00,2.45155,2.70751,3.52871
2026-05-13 18:36:00,2.29491,2.96563,3.466
2026-05-13 19:36:00,2.44727,2.98419,3.5168
2026-05-13 20:36:00,2.52832,2.77004,3.011
2026-05-13 21:36:00,2.59225,2.83082,3.40798
2026-05-13 22:36:00,2.66015,2.63594,3.89978
2026-05-13 23:36:00,2.16097,2.39685,3.58526
2026-05-14 00:36:00,2.33831,3.20486,3.84988
2026-05-14 01:36:00,2.2348,2.32124,3.59501
2026-05-14 02:36:00,2.45009,2.12064,3.7403
2026-05-14 03:36:00,2.48511,2.93279,3.00268
2026-05-14 04:36:00,2.35913,3.49088,3.22486
