DateTime,1RV-T,2RV-T,3RV-T
2026-04-20 17:38:00,0.32163,0.22049,0.37632
2026-04-20 18:38:00,0.3339,0.22567,0.41017
2026-04-20 19:38:00,0.4976,0.23094,0.41174
2026-04-20 20:38:00,0.41599,0.23367,0.41682
2026-04-20 21:38:00,0.38535,0.23511,0.40755
2026-04-20 22:38:00,0.37322,0.23576,0.39757
2026-04-20 23:38:00,0.33227,0.23654,0.36738
2026-04-21 00:38:00,0.32673,0.23195,0.35949
2026-04-21 01:38:00,0.3371,0.23211,0.38444
2026-04-21 02:38:00,0.34443,0.23369,0.39584
2026-04-21 03:38:00,0.34619,0.23663,0.41142
2026-04-21 04:38:00,0.3476,0.23542,0.44035
2026-04-21 05:38:00,0.35763,0.24,0.45742
2026-04-21 06:38:00,0.35125,0.23632,0.39307
2026-04-21 07:38:00,0.35921,0.23663,0.40586
2026-04-21 08:38:00,0.35321,0.23335,0.37099
2026-04-21 09:38:00,0.35859,0.23831,0.41123
2026-04-21 10:38:00,0.35838,0.23592,0.42241
2026-04-21 11:38:00,0.34406,0.23442,0.36901
2026-04-21 12:38:00,0.33928,0.23452,0.38769
2026-04-21 13:38:00,0.33564,0.23598,0.37954
2026-04-21 14:38:00,0.32675,0.23167,0.3723
2026-04-21 15:38:00,0.34159,0.23745,0.4218
2026-04-21 16:38:00,0.33992,0.23443,0.39182
2026-04-21 17:38:00,0.34435,0.23534,0.37072
2026-04-21 18:38:00,0.3539,0.23927,0.40222
2026-04-21 19:38:00,0.35559,0.23905,0.39672
2026-04-21 20:38:00,0.35646,0.237,0.41002
2026-04-21 21:38:00,0.35793,0.23676,0.38832
2026-04-21 22:38:00,0.35349,0.23222,0.35027
2026-04-21 23:38:00,0.35718,0.23328,0.35713
2026-04-22 00:38:00,0.35747,0.23287,0.35617
2026-04-22 01:38:00,0.36202,0.23717,0.41017
2026-04-22 02:38:00,0.36,0.23245,0.35887
2026-04-22 03:38:00,0.36444,0.2373,0.36809
2026-04-22 04:38:00,0.37326,0.24049,0.42185
2026-04-22 05:38:00,0.36326,0.23367,0.37695
2026-04-22 06:38:00,0.36965,0.23232,0.37513
2026-04-22 07:38:00,0.37577,0.23634,0.39754
2026-04-22 08:38:00,0.35583,0.23389,0.38329
2026-04-22 09:38:00,0.35318,0.23448,0.36224
2026-04-22 10:38:00,0.35872,0.23664,0.39964
2026-04-22 11:38:00,0.33916,0.23716,0.41214
2026-04-22 12:38:00,0.35297,0.24552,0.43729
2026-04-22 13:38:00,0.32675,0.23589,0.38744
2026-04-22 14:38:00,0.32032,0.23681,0.39738
2026-04-22 15:38:00,0.32781,0.23336,0.36443
2026-04-22 16:38:00,0.34269,0.23668,0.37756
2026-04-22 17:38:00,0.33138,0.23132,0.36719
2026-04-22 18:38:00,0.32756,0.23034,0.37672
2026-04-22 19:38:00,0.34872,0.23771,0.40264
2026-04-22 20:38:00,0.36726,0.23746,0.39666
2026-04-22 21:38:00,0.34406,0.23545,0.37298
2026-04-22 22:38:00,0.33888,0.25297,0.36017
2026-04-22 23:38:00,0.33732,0.23247,0.36219
2026-04-23 00:38:00,0.34971,0.23755,0.42318
2026-04-23 01:38:00,0.33974,0.2352,0.37557
2026-04-23 02:38:00,0.33811,0.22926,0.3623
2026-04-23 03:38:00,0.34019,0.2341,0.3712
2026-04-23 04:38:00,0.34226,0.2373,0.36552
2026-04-23 05:38:00,0.35509,0.23921,0.39151
2026-04-23 06:38:00,0.35034,0.22928,0.38387
2026-04-23 07:38:00,0.34379,0.22643,0.3596
2026-04-23 08:38:00,0.34632,0.24994,0.37345
2026-04-23 09:38:00,0.33531,0.22928,0.354
2026-04-23 10:38:00,0.3431,0.23637,0.40905
2026-04-23 11:38:00,0.32664,0.22821,0.34396
2026-04-23 12:38:00,0.33117,0.23045,0.3439
2026-04-23 13:38:00,0.33208,0.23543,0.40127
2026-04-23 14:38:00,0.33452,0.23691,0.38408
2026-04-23 15:38:00,0.32861,0.23435,0.35623
2026-04-23 16:38:00,0.35061,0.23889,0.38683
2026-04-23 17:38:00,0.34705,0.23516,0.36945
2026-04-23 18:38:00,0.35774,0.23945,0.37702
2026-04-23 19:38:00,0.37199,0.24466,0.40702
2026-04-23 20:38:00,0.35601,0.23827,0.41147
2026-04-23 21:38:00,0.36782,0.24244,0.41558
2026-04-23 22:38:00,0.35965,0.23514,0.3705
2026-04-23 23:38:00,0.35581,0.23959,0.40645
2026-04-24 00:38:00,0.35462,0.24036,0.39011
2026-04-24 01:38:00,0.34616,0.23728,0.41509
2026-04-24 02:38:00,0.35369,0.23951,0.39651
2026-04-24 03:38:00,0.34756,0.23645,0.36627
2026-04-24 04:38:00,0.35205,0.23896,0.3725
2026-04-24 05:38:00,0.36503,0.24079,0.3813
2026-04-24 06:38:00,0.3603,0.23215,0.35546
2026-04-24 07:38:00,0.34697,0.23097,0.36354
2026-04-24 08:38:00,0.34601,0.23768,0.37006
2026-04-24 09:38:00,0.34367,0.23615,0.38776
2026-04-24 10:38:00,0.2741,0.23518,0.36703
2026-04-24 11:38:00,0.27653,0.24167,0.40995
2026-04-24 12:38:00,0.27126,0.24351,0.42986
2026-04-24 13:38:00,0.26231,0.22971,0.36544
2026-04-24 14:38:00,0.26908,0.23311,0.37289
2026-04-24 15:38:00,0.28196,0.23816,0.39913
2026-04-24 16:38:00,0.27518,0.23349,0.36983
2026-04-24 17:38:00,0.27847,0.2369,0.40086
2026-04-24 18:38:00,0.28009,0.23811,0.38436
2026-04-24 19:38:00,0.28393,0.24267,0.40145
2026-04-24 20:38:00,0.29035,0.24103,0.38798
2026-04-24 21:38:00,0.26833,0.2318,0.33933
2026-04-24 22:38:00,0.29201,0.2406,0.40913
2026-04-24 23:38:00,0.29357,0.24287,0.41341
2026-04-25 00:38:00,0.28235,0.2441,0.39474
2026-04-25 01:38:00,0.27795,0.23572,0.37359
2026-04-25 02:38:00,0.28035,0.24571,0.37954
2026-04-25 03:38:00,0.27467,0.2367,0.35897
2026-04-25 04:38:00,0.27692,0.23587,0.36499
2026-04-25 05:38:00,0.2957,0.23213,0.37021
2026-04-25 06:38:00,0.28657,0.22758,0.34611
2026-04-25 07:38:00,0.29313,0.23072,0.37353
2026-04-25 08:38:00,0.29579,0.22632,0.33763
2026-04-25 09:38:00,0.31484,0.23593,0.36751
2026-04-25 10:38:00,0.28568,0.23358,0.3776
2026-04-25 11:38:00,0.2858,0.23804,0.39935
2026-04-25 12:38:00,0.26381,0.23258,0.34766
2026-04-25 13:38:00,0.26928,0.23098,0.35719
2026-04-25 14:38:00,0.27502,0.2331,0.36592
2026-04-25 15:38:00,0.28534,0.23909,0.3607
2026-04-25 16:38:00,0.28429,0.24025,0.38335
2026-04-25 17:38:00,0.27414,0.23403,0.3593
2026-04-25 18:38:00,0.2817,0.24067,0.37864
2026-04-25 19:38:00,0.29596,0.24359,0.39644
2026-04-25 20:38:00,0.2764,0.22966,0.34948
2026-04-25 21:38:00,0.28702,0.2331,0.37193
2026-04-25 22:38:00,0.29471,0.23242,0.37477
2026-04-25 23:38:00,0.30947,0.23932,0.4056
2026-04-26 00:38:00,0.29871,0.23479,0.37343
2026-04-26 01:38:00,0.28493,0.23429,0.34385
2026-04-26 02:38:00,0.30346,0.23813,0.40645
2026-04-26 03:38:00,0.29187,0.23356,0.36302
2026-04-26 04:38:00,0.30595,0.23733,0.41713
2026-04-26 05:38:00,0.29396,0.23382,0.3784
2026-04-26 06:38:00,0.30837,0.23162,0.39103
2026-04-26 07:38:00,0.30447,0.23138,0.35443
2026-04-26 08:38:00,0.30966,0.2402,0.40728
2026-04-26 09:38:00,0.31383,0.23693,0.39099
2026-04-26 10:38:00,0.29294,0.23652,0.38376
2026-04-26 11:38:00,0.28429,0.23571,0.38955
2026-04-26 12:38:00,0.2712,0.23669,0.4102
2026-04-26 13:38:00,0.29684,0.23924,0.42032
2026-04-26 14:38:00,0.29407,0.23438,0.45242
2026-04-26 15:38:00,0.28482,0.23704,0.37426
2026-04-26 16:38:00,0.28735,0.2443,0.445
2026-04-26 17:38:00,0.2731,0.23484,0.36391
2026-04-26 18:38:00,0.28956,0.23838,0.40409
2026-04-26 19:38:00,0.2839,0.23796,0.41474
2026-04-26 20:38:00,0.28397,0.24159,0.38208
2026-04-26 21:38:00,0.29542,0.24318,0.38909
2026-04-26 22:38:00,0.29021,0.23493,0.36697
2026-04-26 23:38:00,0.2943,0.23197,0.34019
2026-04-27 00:38:00,0.28976,0.2336,0.35969
2026-04-27 01:38:00,0.29136,0.23698,0.36306
2026-04-27 02:38:00,0.31001,0.23605,0.37809
2026-04-27 03:38:00,0.29338,0.23737,0.40235
2026-04-27 04:38:00,0.30389,0.2412,0.40966
2026-04-27 05:38:00,0.30544,0.23349,0.37406
2026-04-27 06:38:00,0.28775,0.23089,0.34373
2026-04-27 07:38:00,0.30513,0.23375,0.37728
2026-04-27 08:38:00,0.29764,0.23391,0.39237
2026-04-27 09:38:00,0.29323,0.23753,0.37601
2026-04-27 10:38:00,0.29841,0.23849,0.3923
2026-04-27 11:38:00,0.29627,0.23797,0.41955
2026-04-27 12:38:00,0.30031,0.23401,0.38781
2026-04-27 13:38:00,0.28023,0.23394,0.34718
2026-04-27 14:38:00,0.28401,0.23472,0.37229
2026-04-27 15:38:00,0.29984,0.23632,0.38469
2026-04-27 16:38:00,0.28823,0.24054,0.40514
2026-04-27 17:38:00,0.29936,0.23374,0.39467
2026-04-27 18:38:00,0.31103,0.24403,0.42857
2026-04-27 19:38:00,0.30341,0.236,0.37786
2026-04-27 20:38:00,0.30213,0.23678,0.38172
2026-04-27 21:38:00,0.30124,0.23435,0.35765
2026-04-27 22:38:00,0.30239,0.23429,0.38456
2026-04-27 23:38:00,0.30596,0.23685,0.3801
2026-04-28 00:38:00,0.29638,0.2334,0.38009
2026-04-28 01:38:00,0.29896,0.23106,0.34653
2026-04-28 02:38:00,0.30451,0.23201,0.34429
2026-04-28 03:38:00,0.30704,0.23266,0.36416
2026-04-28 04:38:00,0.30182,0.2356,0.36007
2026-04-28 05:38:00,0.31316,0.23728,0.40223
2026-04-28 06:38:00,0.33855,0.24489,0.45888
2026-04-28 07:38:00,0.32052,0.23427,0.38364
2026-04-28 08:38:00,0.32641,0.23888,0.37641
2026-04-28 09:38:00,0.32034,0.23468,0.39125
2026-04-28 10:38:00,0.28754,0.23511,0.35834
2026-04-28 11:38:00,0.29421,0.23509,0.35667
2026-04-28 12:38:00,0.30631,0.23437,0.37187
2026-04-28 13:38:00,0.29955,0.23348,0.36879
2026-04-28 14:38:00,0.29661,0.23646,0.35662
2026-04-28 15:38:00,0.3029,0.2356,0.38297
2026-04-28 16:38:00,0.32582,0.23898,0.4171
2026-04-28 17:38:00,0.31049,0.23443,0.37807
2026-04-28 18:38:00,0.30597,0.23386,0.36996
2026-04-28 19:38:00,0.30192,0.23588,0.37483
2026-04-28 20:38:00,0.30773,0.23565,0.357
2026-04-28 21:38:00,0.31986,0.23779,0.3712
2026-04-28 22:38:00,0.32454,0.23747,0.39646
2026-04-28 23:38:00,0.30995,0.23717,0.38421
2026-04-29 00:38:00,0.30496,0.23852,0.39119
2026-04-29 01:38:00,0.30158,0.2353,0.41395
2026-04-29 02:38:00,0.32144,0.23394,0.35961
2026-04-29 03:38:00,0.31658,0.24045,0.3948
2026-04-29 04:38:00,0.32039,0.2371,0.39888
2026-04-29 05:38:00,0.30632,0.23106,0.35868
2026-04-29 06:38:00,0.297,0.23161,0.35733
2026-04-29 07:38:00,0.301,0.2325,0.3531
2026-04-29 08:38:00,0.31536,0.22887,0.35382
2026-04-29 09:38:00,0.31573,0.23574,0.4075
2026-04-29 10:38:00,0.31721,0.23818,0.40256
2026-04-29 11:38:00,0.31959,0.23528,0.35806
2026-04-29 12:38:00,0.30675,0.2427,0.37509
2026-04-29 13:38:00,0.31158,0.23625,0.36203
2026-04-29 14:38:00,0.30642,0.23751,0.38827
2026-04-29 15:38:00,0.31165,0.23552,0.38585
2026-04-29 16:38:00,0.27907,0.23685,0.3511
2026-04-29 17:38:00,0.30517,0.24073,0.40015
2026-04-29 18:38:00,0.3124,0.23738,0.40157
2026-04-29 19:38:00,0.3111,0.23667,0.38474
2026-04-29 20:38:00,0.30482,0.23626,0.40499
2026-04-29 21:38:00,0.30752,0.24037,0.39445
2026-04-29 22:38:00,0.30034,0.23233,0.32956
2026-04-29 23:38:00,0.30797,0.23281,0.34874
2026-04-30 00:38:00,0.32581,0.24087,0.42977
2026-04-30 01:38:00,0.31121,0.23529,0.37959
2026-04-30 02:38:00,0.30564,0.23461,0.35552
2026-04-30 03:38:00,0.31074,0.23652,0.38681
2026-04-30 04:38:00,0.31371,0.23384,0.35598
2026-04-30 05:38:00,0.31928,0.23722,0.41779
2026-04-30 06:38:00,0.32771,0.23956,0.37703
2026-04-30 07:38:00,0.31524,0.23843,0.39646
2026-04-30 08:38:00,0.3204,0.23535,0.35444
2026-04-30 09:38:00,0.29444,0.23023,0.33454
2026-04-30 10:38:00,0.32818,0.23941,0.38799
2026-04-30 11:38:00,0.31264,0.23536,0.36886
2026-04-30 12:38:00,0.3137,0.23849,0.3893
2026-04-30 13:38:00,0.29621,0.23477,0.37578
2026-04-30 14:38:00,0.28001,0.2335,0.36336
2026-04-30 15:38:00,0.28358,0.22943,0.35695
2026-04-30 16:38:00,0.28233,0.23591,0.36022
2026-04-30 17:38:00,0.30291,0.23807,0.40944
2026-04-30 18:38:00,0.2968,0.24022,0.3781
2026-04-30 19:38:00,0.29287,0.23861,0.37791
2026-04-30 20:38:00,0.30035,0.23132,0.34903
2026-04-30 21:38:00,0.30761,0.2313,0.37858
2026-04-30 22:38:00,0.30556,0.2289,0.33776
2026-04-30 23:38:00,0.31703,0.23726,0.37059
2026-05-12 00:38:00,0.36622,0.23892,0.39394
2026-05-12 01:38:00,0.35334,0.23868,0.35006
2026-05-12 02:38:00,0.35575,0.23751,0.36066
2026-05-12 03:38:00,0.36179,0.2394,0.36566
2026-05-12 04:38:00,0.36726,0.23677,0.38584
2026-05-12 05:38:00,0.37991,0.23848,0.38727
2026-05-12 06:38:00,0.36557,0.23822,0.36621
2026-05-12 07:38:00,0.37666,0.2338,0.35676
2026-05-12 08:38:00,0.38519,0.23875,0.38772
2026-05-12 09:38:00,0.38291,0.23336,0.34131
2026-05-12 10:38:00,0.36166,0.23567,0.37015
2026-05-12 11:38:00,0.33741,0.23742,0.36244
2026-05-12 12:38:00,0.34168,0.23718,0.36896
2026-05-12 13:38:00,0.33699,0.24631,0.44623
2026-05-12 14:38:00,0.34002,0.23727,0.37249
2026-05-12 15:38:00,0.34088,0.23654,0.41951
2026-05-12 16:38:00,0.33034,0.23414,0.36422
2026-05-12 17:38:00,0.33323,0.23862,0.35116
2026-05-12 18:38:00,0.34808,0.23855,0.41234
2026-05-12 19:38:00,0.3529,0.24135,0.41215
2026-05-12 20:38:00,0.35154,0.23694,0.36991
2026-05-12 21:38:00,0.35595,0.23918,0.38907
2026-05-12 22:38:00,0.36199,0.2391,0.37953
2026-05-12 23:38:00,0.36455,0.23959,0.40194
2026-05-13 00:38:00,0.37056,0.24392,0.39447
2026-05-13 01:38:00,0.36101,0.23524,0.38296
2026-05-13 02:38:00,0.36059,0.24097,0.40422
2026-05-13 03:38:00,0.35156,0.23844,0.35335
2026-05-13 04:38:00,0.36487,0.23763,0.37
