DateTime,1RV-V,2RV-V,3RV-V
2026-05-12 00:38:00,1.06315,1.63648,1.23747
2026-05-12 01:38:00,1.24637,2.11711,1.24492
2026-05-12 02:38:00,1.10548,1.64898,1.33355
2026-05-12 03:38:00,1.01905,1.72911,1.20542
2026-05-12 04:38:00,1.11298,1.79195,1.16928
2026-05-12 05:38:00,1.08034,1.80308,1.14439
2026-05-12 06:38:00,1.30577,2.19172,1.2383
2026-05-12 07:38:00,1.10391,1.98129,1.0864
2026-05-12 08:38:00,1.32383,2.0684,1.32949
2026-05-12 09:38:00,1.14053,1.89048,1.08469
2026-05-12 10:38:00,1.05264,1.64291,1.07617
2026-05-12 11:38:00,1.15633,1.77243,1.1594
2026-05-12 12:38:00,1.22007,1.9221,1.23909
2026-05-12 13:38:00,1.08093,1.6492,1.29518
2026-05-12 14:38:00,1.14078,1.6867,1.24198
2026-05-12 15:38:00,1.22233,2.03772,1.19488
2026-05-12 16:38:00,1.02046,1.60778,1.18008
2026-05-12 17:38:00,1.13229,1.81695,1.09784
2026-05-12 18:38:00,1.19683,1.80416,1.29569
2026-05-12 19:38:00,1.18939,1.82082,1.32444
2026-05-12 20:38:00,1.17418,1.85924,1.19947
2026-05-12 21:38:00,1.20615,1.85697,1.25955
2026-05-12 22:38:00,1.05261,1.62047,1.1588
2026-05-12 23:38:00,1.08256,1.6299,1.24718
2026-05-13 00:38:00,1.28685,2.11487,1.27638
2026-05-13 01:38:00,1.14914,1.93626,1.13917
2026-05-13 02:38:00,1.14904,1.81907,1.22747
2026-05-13 03:38:00,1.13175,1.73971,1.11385
2026-05-13 04:38:00,1.06343,1.72484,1.12016
2026-05-13 05:38:00,1.09425,1.7219,1.13228
2026-05-13 06:38:00,1.10777,1.72578,1.13729
2026-05-13 07:38:00,1.17174,1.89573,1.13811
2026-05-13 08:38:00,1.19469,1.92584,1.13226
2026-05-13 09:38:00,1.04172,1.58997,1.23928
2026-05-13 10:38:00,1.24785,1.8693,1.23821
2026-05-13 11:38:00,1.06248,1.72771,1.18351
2026-05-13 12:38:00,1.09673,1.82058,1.27794
2026-05-13 13:38:00,1.10289,1.67635,1.3211
2026-05-13 14:38:00,1.17484,1.8842,1.2266
2026-05-13 15:38:00,1.11669,1.89807,1.11091
2026-05-13 16:38:00,1.01905,1.57114,1.25863
2026-05-13 17:38:00,1.11309,1.79523,1.22204
2026-05-13 18:38:00,1.04894,1.55136,1.22587
2026-05-13 19:38:00,1.13551,1.84925,1.27711
2026-05-13 20:38:00,1.20309,1.88379,1.17369
2026-05-13 21:38:00,1.25982,2.03144,1.22937
2026-05-13 22:38:00,1.11797,1.95201,1.13478
2026-05-13 23:38:00,1.279,2.04761,1.17558
2026-05-14 00:38:00,1.18664,1.89,1.20526
2026-05-14 01:38:57,1.07226,1.69838,1.11584
2026-05-14 02:38:00,1.05997,1.63517,1.12623
2026-05-14 03:38:00,1.17246,1.86817,1.24621
2026-05-14 04:38:00,1.11815,1.83136,1.07757
2026-05-14 05:38:00,1.14539,2.05459,1.11913
2026-05-14 06:38:00,1.10359,1.73155,1.06722
2026-05-14 07:38:00,1.14685,1.91061,1.15429
2026-05-14 08:38:00,1.20344,1.9149,1.18029
2026-05-14 09:38:00,1.19509,1.82105,1.22409
2026-05-14 10:38:00,1.19973,1.90949,1.2407
2026-05-14 11:38:00,1.05121,1.60312,1.22102
2026-05-14 12:38:00,1.09331,1.71884,1.2344
2026-05-14 13:38:00,1.24367,2.03989,1.39844
2026-05-14 14:38:00,1.03437,1.68814,1.18323
2026-05-14 15:38:00,1.08721,1.64572,1.19366
2026-05-14 16:38:00,1.10525,1.75706,1.07175
