"DateTime","3RV-O","1RV-O","2RV-O"
"2025-04-08 00:42:00",20.096,3.454,2.518
"2025-04-08 01:42:00",18.917,3.507,2.587
"2025-04-08 02:42:00",18.27,3.377,2.65
"2025-04-08 03:42:00",19.393,3.472,2.535
"2025-04-08 04:42:00",18.926,3.77,2.828
"2025-04-08 05:42:00",19.068,3.37,2.554
"2025-04-08 06:42:00",19.282,3.47,2.612
"2025-04-08 07:42:00",19.442,3.837,2.603
"2025-04-08 08:42:00",18.68,3.458,2.438
"2025-04-08 09:42:00",20.453,3.928,2.649
"2025-04-08 10:42:00",20.81,3.269,2.523
"2025-04-08 11:42:00",19.388,3.196,2.679
"2025-04-08 12:42:00",19.38,3.605,2.559
"2025-04-08 13:42:00",20.581,3.779,2.275
"2025-04-08 14:42:00",19.737,3.883,2.38
"2025-04-08 15:42:00",20.993,3.438,2.459
"2025-04-08 16:42:00",19.126,3.524,2.372
"2025-04-08 17:42:00",18.712,3.363,2.49
"2025-04-08 18:42:00",18.185,3.615,2.326
"2025-04-08 19:42:00",19.213,4.248,2.524
"2025-04-08 20:42:00",18.554,3.082,2.504
"2025-04-08 21:42:00",17.845,3.265,2.604
"2025-04-08 22:42:00",18.24,3.336,2.718
"2025-04-08 23:42:00",17.821,3.138,2.418
"2025-04-09 00:42:00",18.031,3.485,2.628
"2025-04-09 01:42:00",18.378,3.259,2.613
"2025-04-09 02:42:00",18.119,3.382,2.675
"2025-04-09 03:42:00",19.206,3.486,2.613
"2025-04-09 04:42:00",18.639,3.474,2.578
"2025-04-09 05:42:00",18.524,3.455,2.725
"2025-04-09 06:42:00",19.083,3.496,2.417
"2025-04-09 07:42:00",18.757,3.354,2.568
"2025-04-09 08:42:00",20.241,3.002,2.323
"2025-04-09 09:42:00",0.317,0.707,0.327
"2025-04-09 10:42:00",0.379,0.954,0.498
"2025-04-09 11:42:00",0.626,3.919,1.175
"2025-04-09 12:42:00",0.222,0.388,0.208
"2025-04-09 13:42:00",0.366,0.761,0.315
"2025-04-09 14:42:00",0.28,0.203,0.101
"2025-04-09 15:42:00",0.376,0.116,0.073
"2025-04-09 16:42:00",0.723,0.17,0.096
"2025-04-09 17:42:00",0.07,0.113,0.073
"2025-04-09 18:42:00",2.814,2.144,1.443
"2025-04-09 19:42:00",3.305,2.652,1.562
"2025-04-09 20:42:00",3.65,2.55,1.64
"2025-04-09 21:42:00",3.206,2.596,1.641
"2025-04-09 22:42:00",3.058,2.41,1.547
"2025-04-09 23:42:00",3.481,2.63,1.63
"2025-04-10 00:42:00",3.217,2.35,1.366
"2025-04-10 01:42:00",2.776,2.375,1.469
"2025-04-10 02:42:00",2.402,1.919,1.172
"2025-04-10 03:42:00",3.009,2.69,1.601
"2025-04-10 04:42:00",2.868,2.634,1.606
"2025-04-10 05:42:00",2.929,2.535,1.579
"2025-04-10 06:42:00",2.872,2.543,1.619
"2025-04-10 07:42:00",3.238,3.361,1.929
"2025-04-10 08:42:00",2.911,2.466,1.542
"2025-04-10 09:42:00",3.143,2.716,1.627
"2025-04-10 10:42:00",2.288,2.077,1.188
"2025-04-10 11:42:00",2.897,2.506,1.472
"2025-04-10 12:42:00",2.794,2.645,1.545
"2025-04-10 13:42:00",2.627,2.435,1.486
"2025-04-10 14:42:00",3.002,2.798,1.642
"2025-04-10 15:42:00",3.042,2.895,1.73
"2025-04-10 16:42:00",2.64,2.679,1.558
"2025-04-10 17:42:00",2.812,2.594,1.56
"2025-04-10 18:42:00",2.228,2.285,1.245
"2025-04-10 19:42:00",2.655,2.528,1.488
"2025-04-10 20:42:00",2.926,3.061,1.698
"2025-04-10 21:42:00",2.769,2.981,1.646
